time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2022/10/20/23:15:31.955784,24,0,0,base_link,0.544,0.391,0.0770000176691,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:31.965701,25,0,0,base_link,0.544,0.391,0.0768750199769,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:31.975938,26,0,0,base_link,0.544,0.391,0.0767500225175,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:31.985694,27,0,0,base_link,0.544,0.391,0.076625025291,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:31.995721,28,0,0,base_link,0.544,0.391,0.0765000282973,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.005753,29,0,0,base_link,0.544,0.391,0.0763750313036,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.016628,30,0,0,base_link,0.544,0.391,0.0762500347756,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.025705,31,0,0,base_link,0.544,0.391,0.0761250384804,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.035736,32,0,0,base_link,0.544,0.391,0.0760000426508,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.045804,33,0,0,base_link,0.544,0.391,0.0758750465885,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.055813,34,0,0,base_link,0.544,0.391,0.0757500514574,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.065792,35,0,0,base_link,0.544,0.391,0.0756250563264,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.075722,36,0,0,base_link,0.544,0.391,0.0755000611953,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.085909,37,0,0,base_link,0.544,0.391,0.0753750669956,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.095723,38,0,0,base_link,0.544,0.391,0.0752500723302,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.105659,39,0,0,base_link,0.544,0.391,0.0751250785962,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.117378,40,0,0,base_link,0.544,0.391,0.0750000848621,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.125641,41,0,0,base_link,0.544,0.391,0.0748750915937,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.135799,42,0,0,base_link,0.544,0.391,0.0747500983253,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.145839,43,0,0,base_link,0.544,0.391,0.0746251055226,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.155629,44,0,0,base_link,0.544,0.391,0.0745001131855,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.165707,45,0,0,base_link,0.544,0.391,0.0743751213141,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.175631,46,0,0,base_link,0.544,0.391,0.0742501294427,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.185781,47,0,0,base_link,0.544,0.391,0.0741251380369,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.195774,48,0,0,base_link,0.544,0.391,0.0740001470968,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.205698,49,0,0,base_link,0.544,0.391,0.0738751566224,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.215796,50,0,0,base_link,0.544,0.391,0.0737501666136,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.225687,51,0,0,base_link,0.544,0.391,0.0736251766048,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.235685,52,0,0,base_link,0.544,0.391,0.0735001870617,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.245752,53,0,0,base_link,0.544,0.391,0.0733751979843,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.255729,54,0,0,base_link,0.544,0.391,0.0732502093725,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.265669,55,0,0,base_link,0.544,0.391,0.0731252212264,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.275903,56,0,0,base_link,0.544,0.391,0.0730002335459,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.285712,57,0,0,base_link,0.544,0.391,0.0728752463311,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.295824,58,0,0,base_link,0.544,0.391,0.072750259582,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.305791,59,0,0,base_link,0.544,0.391,0.0726252728328,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.315694,60,0,0,base_link,0.544,0.391,0.072500287015,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.325736,61,0,0,base_link,0.544,0.391,0.0723753016628,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.336878,62,0,0,base_link,0.544,0.391,0.0722503163107,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.345719,63,0,0,base_link,0.544,0.391,0.0721253323555,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.355638,64,0,0,base_link,0.544,0.391,0.0720003470033,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.365694,65,0,0,base_link,0.544,0.391,0.0718753635138,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.375713,66,0,0,base_link,0.544,0.391,0.0717503800243,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.385794,67,0,0,base_link,0.544,0.391,0.0716253965348,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.395676,68,0,0,base_link,0.544,0.391,0.0715004149079,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.405696,69,0,0,base_link,0.544,0.391,0.0713754323497,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.415713,70,0,0,base_link,0.544,0.391,0.0712504516542,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.425677,71,0,0,base_link,0.544,0.391,0.0711254700273,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.435716,72,0,0,base_link,0.544,0.391,0.0710004902631,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.445659,73,0,0,base_link,0.544,0.391,0.0708755104989,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.455702,74,0,0,base_link,0.544,0.391,0.070750531666,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.465878,75,0,0,base_link,0.544,0.391,0.0706255528331,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.475669,76,0,0,base_link,0.544,0.391,0.0705005749315,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.485750,77,0,0,base_link,0.544,0.391,0.0703755970299,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.496877,78,0,0,base_link,0.544,0.391,0.0702506200597,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.505875,79,0,0,base_link,0.544,0.391,0.0701256440207,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.515728,80,0,0,base_link,0.544,0.391,0.0700006689131,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.525700,81,0,0,base_link,0.544,0.391,0.0698756938055,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.535685,82,0,0,base_link,0.544,0.391,0.0697507196292,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.545758,83,0,0,base_link,0.544,0.391,0.0696257454529,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.555712,84,0,0,base_link,0.544,0.391,0.0695007731393,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.565706,85,0,0,base_link,0.544,0.391,0.0693758008257,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.575935,86,0,0,base_link,0.544,0.391,0.069250828512,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.585698,87,0,0,base_link,0.544,0.391,0.069125858061,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.595739,88,0,0,base_link,0.544,0.391,0.06900088761,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.605688,89,0,0,base_link,0.544,0.391,0.0688759180903,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.615715,90,0,0,base_link,0.544,0.391,0.0687509485707,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.625950,91,0,0,base_link,0.544,0.391,0.0686259809136,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.635677,92,0,0,base_link,0.544,0.391,0.0685010132566,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.646771,93,0,0,base_link,0.544,0.391,0.0683760465309,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.656342,94,0,0,base_link,0.544,0.391,0.0682510798052,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.665671,95,0,0,base_link,0.544,0.391,0.0681261149421,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.675704,96,0,0,base_link,0.544,0.391,0.0680011500791,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.685646,97,0,0,base_link,0.544,0.391,0.0678761861473,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.695902,98,0,0,base_link,0.544,0.391,0.0677512231469,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.705655,99,0,0,base_link,0.544,0.391,0.0676262610778,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.715823,100,0,0,base_link,0.544,0.391,0.0675012990087,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.725683,101,0,0,base_link,0.544,0.391,0.067376337871,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.735711,102,0,0,base_link,0.544,0.391,0.0672513785958,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.746706,103,0,0,base_link,0.544,0.391,0.0671264193207,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.755733,104,0,0,base_link,0.544,0.391,0.0670014609769,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.765763,105,0,0,base_link,0.544,0.391,0.0668765026331,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.775892,106,0,0,base_link,0.544,0.391,0.0667515461519,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.785672,107,0,0,base_link,0.544,0.391,0.0666265906021,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.795644,108,0,0,base_link,0.544,0.391,0.0665016350523,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.805712,109,0,0,base_link,0.544,0.391,0.0663766813651,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.815852,110,0,0,base_link,0.544,0.391,0.0662517276779,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.825658,111,0,0,base_link,0.544,0.391,0.066126774922,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.835642,112,0,0,base_link,0.544,0.391,0.0660018230975,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.847815,113,0,0,base_link,0.544,0.391,0.0658768722042,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.855780,114,0,0,base_link,0.544,0.391,0.0657519222423,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.865756,115,0,0,base_link,0.544,0.391,0.0656269732118,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.875978,116,0,0,base_link,0.544,0.391,0.0655020251125,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.887939,117,0,0,base_link,0.544,0.391,0.0653770779446,-0.3828,0.9238,0.0,0.0
2022/10/20/23:15:32.895715,118,0,0,base_link,0.544,0.391,0.065252131708,-0.3828,0.9238,0.0,0.0
