time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2022/10/20/21:40:21.960505,21,0,0,base_link,0.534,0.301,0.12737501191,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:21.970422,22,0,0,base_link,0.534,0.301,0.127250013752,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:21.980337,23,0,0,base_link,0.534,0.301,0.127125015594,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:21.990447,24,0,0,base_link,0.534,0.301,0.127000017669,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.000598,25,0,0,base_link,0.534,0.301,0.126875019977,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.010860,26,0,0,base_link,0.534,0.301,0.126750022518,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.020364,27,0,0,base_link,0.534,0.301,0.126625025291,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.030409,28,0,0,base_link,0.534,0.301,0.126500028297,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.041709,29,0,0,base_link,0.534,0.301,0.126375031304,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.050342,30,0,0,base_link,0.534,0.301,0.126250034776,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.060378,31,0,0,base_link,0.534,0.301,0.12612503848,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.070586,32,0,0,base_link,0.534,0.301,0.126000042651,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.080469,33,0,0,base_link,0.534,0.301,0.125875046588,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.090391,34,0,0,base_link,0.534,0.301,0.125750051457,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.100452,35,0,0,base_link,0.534,0.301,0.125625056326,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.110365,36,0,0,base_link,0.534,0.301,0.125500061195,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.120337,37,0,0,base_link,0.534,0.301,0.125375066996,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.130637,38,0,0,base_link,0.534,0.301,0.12525007233,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.140347,39,0,0,base_link,0.534,0.301,0.125125078596,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.150346,40,0,0,base_link,0.534,0.301,0.125000084862,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.160375,41,0,0,base_link,0.534,0.301,0.124875091594,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.170307,42,0,0,base_link,0.534,0.301,0.124750098325,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.181394,43,0,0,base_link,0.534,0.301,0.124625105523,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.190397,44,0,0,base_link,0.534,0.301,0.124500113185,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.200555,45,0,0,base_link,0.534,0.301,0.124375121314,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.210524,46,0,0,base_link,0.534,0.301,0.124250129443,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.220361,47,0,0,base_link,0.534,0.301,0.124125138037,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.230517,48,0,0,base_link,0.534,0.301,0.124000147097,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.240355,49,0,0,base_link,0.534,0.301,0.123875156622,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.250345,50,0,0,base_link,0.534,0.301,0.123750166614,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.260494,51,0,0,base_link,0.534,0.301,0.123625176605,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.270348,52,0,0,base_link,0.534,0.301,0.123500187062,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.281573,53,0,0,base_link,0.534,0.301,0.123375197984,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.290346,54,0,0,base_link,0.534,0.301,0.123250209372,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.300364,55,0,0,base_link,0.534,0.301,0.123125221226,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.310331,56,0,0,base_link,0.534,0.301,0.123000233546,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.320355,57,0,0,base_link,0.534,0.301,0.122875246331,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.330343,58,0,0,base_link,0.534,0.301,0.122750259582,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.340377,59,0,0,base_link,0.534,0.301,0.122625272833,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.350393,60,0,0,base_link,0.534,0.301,0.122500287015,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.360791,61,0,0,base_link,0.534,0.301,0.122375301663,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.370374,62,0,0,base_link,0.534,0.301,0.122250316311,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.382984,63,0,0,base_link,0.534,0.301,0.122125332355,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.390360,64,0,0,base_link,0.534,0.301,0.122000347003,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.400406,65,0,0,base_link,0.534,0.301,0.121875363514,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.410693,66,0,0,base_link,0.534,0.301,0.121750380024,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.420356,67,0,0,base_link,0.534,0.301,0.121625396535,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.430393,68,0,0,base_link,0.534,0.301,0.121500414908,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.440365,69,0,0,base_link,0.534,0.301,0.12137543235,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.450412,70,0,0,base_link,0.534,0.301,0.121250451654,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.460379,71,0,0,base_link,0.534,0.301,0.121125470027,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.470378,72,0,0,base_link,0.534,0.301,0.121000490263,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.480492,73,0,0,base_link,0.534,0.301,0.120875510499,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.495051,74,0,0,base_link,0.534,0.301,0.120750531666,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.500343,75,0,0,base_link,0.534,0.301,0.120625552833,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.511014,76,0,0,base_link,0.534,0.301,0.120500574932,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.520443,77,0,0,base_link,0.534,0.301,0.12037559703,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.530774,78,0,0,base_link,0.534,0.301,0.12025062006,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.540391,79,0,0,base_link,0.534,0.301,0.120125644021,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.550409,80,0,0,base_link,0.534,0.301,0.120000668913,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.560391,81,0,0,base_link,0.534,0.301,0.119875693806,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.570540,82,0,0,base_link,0.534,0.301,0.119750719629,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.582391,83,0,0,base_link,0.534,0.301,0.119625745453,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.590420,84,0,0,base_link,0.534,0.301,0.119500773139,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.600372,85,0,0,base_link,0.534,0.301,0.119375800826,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.610314,86,0,0,base_link,0.534,0.301,0.119250828512,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.620459,87,0,0,base_link,0.534,0.301,0.119125858061,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.630374,88,0,0,base_link,0.534,0.301,0.11900088761,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.641228,89,0,0,base_link,0.534,0.301,0.11887591809,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.650470,90,0,0,base_link,0.534,0.301,0.118750948571,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.660392,91,0,0,base_link,0.534,0.301,0.118625980914,-0.3828,0.9238,0.0,0.0
2022/10/20/21:40:22.670415,92,0,0,base_link,0.534,0.301,0.118501013257,-0.3828,0.9238,0.0,0.0
