t,w,x,y,z,ax,ay,az
4,1.00,0.00,0.00,-0.00,-2,-20,-5158
5,1.00,0.00,0.00,-0.00,1,-27,-3797
6,1.00,0.00,0.00,-0.00,4,-27,-2785
7,1.00,0.00,0.00,-0.00,3,-34,-2048
8,1.00,0.00,0.00,-0.00,8,-39,-1503
9,1.00,0.00,0.00,-0.00,14,-40,-1110
10,1.00,0.00,0.00,-0.00,7,-41,-823
11,1.00,0.00,0.00,-0.00,3,-41,-607
12,1.00,0.00,0.00,-0.00,1,-41,-455
13,1.00,0.00,0.00,-0.00,2,-41,-337
14,1.00,0.00,0.00,-0.00,0,-40,-250
15,1.00,0.00,0.00,-0.00,1,-44,-191
16,1.00,0.00,0.00,-0.00,3,-47,-143
17,1.00,0.00,0.00,-0.00,5,-44,-108
18,1.00,0.00,0.00,-0.00,10,-47,-92
19,1.00,0.00,0.00,-0.00,8,-45,-79
20,1.00,0.00,0.00,-0.00,2,-45,-64
21,1.00,0.00,0.00,-0.00,1,-47,-55
22,1.00,0.00,0.00,-0.00,0,-46,-50
23,1.00,0.00,0.00,-0.00,0,-42,-42
24,1.00,0.00,0.00,-0.00,1,-47,-33
25,1.00,0.00,0.00,-0.00,0,-45,-40
26,1.00,0.00,0.00,-0.00,0,-43,-44
27,1.00,0.00,0.00,-0.00,1,-41,-31
28,1.00,0.00,-0.00,-0.00,6,-37,-28
29,1.00,0.00,-0.00,-0.00,3,-35,-19
30,1.00,0.00,-0.00,-0.00,0,-32,-19
31,1.00,0.00,-0.00,-0.00,0,-35,-18
32,1.00,0.00,-0.00,-0.00,1,-40,-15
33,1.00,0.00,-0.00,-0.00,0,-44,-9
34,1.00,0.00,-0.00,-0.00,2,-42,-5
35,1.00,0.00,-0.00,-0.00,7,-40,-2
36,1.00,0.00,-0.00,-0.00,7,-39,-6
37,1.00,0.00,-0.00,-0.00,6,-36,-7
38,1.00,0.00,-0.00,-0.00,2,-28,-9
39,1.00,0.00,-0.00,-0.00,4,-30,-4
40,1.00,0.00,-0.00,-0.00,4,-30,-9
41,1.00,0.00,-0.00,-0.00,6,-41,-11
42,1.00,0.00,-0.00,-0.00,1,-44,-10
43,1.00,0.00,-0.00,-0.00,1,-37,-6
44,1.00,0.00,-0.00,-0.00,0,-26,-8
45,1.00,0.00,-0.00,-0.00,0,-26,-10
46,1.00,0.00,-0.00,-0.00,4,-33,-15
47,1.00,0.00,-0.00,-0.00,4,-40,-19
48,1.00,0.00,-0.00,-0.00,12,-42,-23
49,1.00,0.00,-0.00,-0.00,5,-37,-32
50,1.00,0.00,-0.00,-0.00,5,-36,-31
51,1.00,0.00,-0.00,-0.00,0,-39,-28
52,1.00,0.00,-0.00,-0.00,-1,-42,-25
53,1.00,0.00,-0.00,-0.00,0,-43,-30
54,1.00,0.00,-0.00,-0.00,3,-37,-33
55,1.00,0.00,-0.00,-0.00,6,-40,-21
56,1.00,0.00,-0.00,-0.00,1,-40,-31
57,1.00,0.00,-0.00,-0.00,1,-39,-26
58,1.00,0.00,-0.00,-0.00,1,-29,-21
59,1.00,0.00,-0.00,-0.00,0,-25,-17
60,1.00,0.00,-0.00,-0.00,-4,-25,-17
61,1.00,0.00,-0.00,-0.00,0,-27,-18
