t,w,x,y,z,ax,ay,az
5,1.00,0.00,0.00,-0.00,-28,-2,-3784
6,1.00,0.00,0.00,-0.00,-32,-18,-2786
7,1.00,0.00,0.00,-0.00,-24,-33,-2060
8,1.00,0.00,0.00,-0.00,-18,-43,-1527
9,1.00,0.00,0.00,-0.00,-12,-43,-1139
10,1.00,0.00,0.00,-0.00,-1,-40,-851
11,1.00,0.00,0.00,-0.00,3,-43,-625
12,1.00,0.00,0.00,-0.00,13,-43,-448
13,1.00,0.00,0.00,-0.00,19,-45,-319
14,1.00,0.00,0.00,-0.00,20,-58,-223
15,1.00,0.00,0.00,-0.00,20,-67,-158
16,1.00,0.00,0.00,-0.00,17,-70,-118
17,1.00,0.00,0.00,-0.00,11,-62,-80
18,1.00,0.00,0.00,-0.00,4,-53,-64
19,1.00,0.00,0.00,-0.00,-11,-47,-56
20,1.00,0.00,0.00,-0.00,-20,-46,-44
21,1.00,0.00,0.00,-0.00,-25,-52,-22
22,1.00,0.00,0.00,-0.00,-30,-59,-11
23,1.00,0.00,0.00,-0.00,-25,-58,-2
24,1.00,0.00,0.00,-0.00,-23,-54,-12
25,1.00,0.00,0.00,-0.00,-19,-46,-7
26,1.00,0.00,0.00,-0.00,-8,-38,-16
27,1.00,0.00,0.00,-0.00,0,-41,-25
28,1.00,0.00,0.00,-0.00,9,-48,-28
29,1.00,0.00,0.00,-0.00,11,-54,-24
30,1.00,0.00,0.00,-0.00,11,-57,-16
31,1.00,0.00,0.00,-0.00,8,-52,-8
32,1.00,0.00,0.00,-0.00,7,-42,1
33,1.00,0.00,0.00,-0.00,4,-44,14
34,1.00,0.00,0.00,-0.00,5,-46,27
35,1.00,0.00,0.00,-0.00,3,-41,32
36,1.00,0.00,0.00,-0.00,2,-41,19
37,1.00,0.00,0.00,-0.00,-2,-37,6
38,1.00,0.00,0.00,-0.00,-6,-32,-8
39,1.00,0.00,0.00,-0.00,-12,-36,-13
40,1.00,0.00,0.00,-0.00,-5,-34,-17
41,1.00,0.00,0.00,-0.00,-1,-40,-16
42,1.00,0.00,0.00,-0.00,-1,-44,-14
43,1.00,0.00,0.00,-0.00,-1,-44,-15
44,1.00,0.00,0.00,-0.00,-4,-36,-13
45,1.00,0.00,0.00,-0.00,-5,-36,-16
46,1.00,0.00,0.00,-0.00,-5,-38,-12
47,1.00,0.00,0.00,-0.00,0,-41,-5
48,1.00,0.00,0.00,-0.00,1,-43,-11
49,1.00,0.00,0.00,-0.00,0,-45,-15
50,1.00,0.00,0.00,-0.00,6,-41,-16
51,1.00,0.00,0.00,-0.00,5,-42,-6
52,1.00,0.00,0.00,-0.00,3,-41,0
53,1.00,0.00,0.00,-0.00,3,-38,0
54,1.00,0.00,0.00,-0.00,0,-36,3
55,1.00,0.00,0.00,-0.00,-2,-39,6
56,1.00,0.00,0.00,-0.00,0,-40,7
57,1.00,0.00,0.00,-0.00,0,-36,2
58,1.00,0.00,0.00,-0.00,2,-39,0
59,1.00,0.00,0.00,-0.00,2,-40,-5
60,1.00,0.00,0.00,-0.00,0,-34,-14
61,1.00,0.00,-0.00,-0.00,0,-26,-17
62,1.00,0.00,-0.00,-0.00,-3,-30,-20
63,1.00,0.00,0.00,-0.00,-6,-31,-18
64,1.00,0.00,0.00,-0.00,-1,-34,-18
65,1.00,0.00,0.00,-0.00,-2,-33,-18
66,1.00,0.00,0.00,-0.00,-3,-26,-15
67,1.00,0.00,0.00,-0.00,0,-27,-2
68,1.00,0.00,0.00,-0.00,0,-29,-9
69,1.00,0.00,0.00,-0.00,2,-30,-4
70,1.00,0.00,0.00,-0.00,4,-33,0
71,1.00,0.00,-0.00,-0.00,3,-33,10
72,1.00,0.00,-0.00,-0.00,0,-33,22
73,1.00,0.00,-0.00,-0.00,-2,-31,19
74,1.00,0.00,-0.00,-0.00,0,-31,19
75,1.00,0.00,-0.00,-0.00,2,-25,6
76,1.00,0.00,-0.00,-0.00,0,-26,3
77,1.00,0.00,-0.00,-0.00,-3,-27,0
78,1.00,0.00,-0.00,-0.00,-2,-33,-3
79,1.00,0.00,-0.00,-0.00,-3,-31,-1
80,1.00,0.00,-0.00,-0.00,-7,-26,-8
81,1.00,0.00,-0.00,-0.00,-12,-25,-12
82,1.00,0.00,-0.00,-0.00,-9,-26,-23
83,1.00,0.00,-0.00,-0.00,-11,-30,-18
84,1.00,0.00,-0.00,-0.00,-11,-39,-10
85,1.00,0.00,-0.00,-0.00,-10,-39,-2
86,1.00,0.00,-0.00,-0.00,-13,-33,5
87,1.00,0.00,-0.00,-0.00,-12,-26,2
88,1.00,0.00,-0.00,-0.00,-5,-24,11
89,1.00,0.00,-0.00,-0.00,2,-25,10
90,1.00,0.00,-0.00,-0.00,7,-30,8
91,1.00,0.00,-0.00,-0.00,5,-33,11
92,1.00,0.00,-0.00,-0.00,3,-35,6
93,1.00,0.00,-0.00,-0.00,2,-29,2
94,1.00,0.00,-0.00,-0.00,4,-25,0
95,1.00,0.00,-0.00,-0.00,0,-22,0
96,1.00,0.00,-0.00,-0.00,-1,-21,-3
97,1.00,0.00,-0.00,-0.00,-5,-22,-12
98,1.00,0.00,-0.00,-0.00,-12,-21,-22
99,1.00,0.00,-0.00,-0.00,-16,-24,-26
