2022/10/20/21:06:34.901660,1,-0.491495569307067,-0.275569344342184,0.25640540973517
2022/10/20/21:06:34.903285,2,-0.491516439768098,-0.27557859888544,0.25642678433451
2022/10/20/21:06:34.905504,3,-0.491506266374725,-0.275576272562412,0.256399670692798
2022/10/20/21:06:34.907180,4,-0.491512157760548,-0.275571837107186,0.25641631692796
2022/10/20/21:06:34.908830,5,-0.491504506797823,-0.275563591438918,0.25641139351677
2022/10/20/21:06:34.910553,6,-0.491510759463302,-0.275568978892219,0.256405344045636
2022/10/20/21:06:34.912236,7,-0.49151029828373,-0.275556665239375,0.25640546076567
2022/10/20/21:06:34.913351,8,-0.49150577001941,-0.275572266577344,0.256417259213475
2022/10/20/21:06:34.914483,9,-0.491515826249273,-0.275558351770157,0.256405305047507
2022/10/20/21:06:34.916168,10,-0.491495373085515,-0.275579453053487,0.256380232941052
2022/10/20/21:06:34.917309,11,-0.491510007550354,-0.275568354588447,0.256412521244536
2022/10/20/21:06:34.918447,12,-0.491525555626615,-0.275549502667201,0.256395619037399
2022/10/20/21:06:34.919575,13,-0.491500860109565,-0.275577087166925,0.256409061436453
2022/10/20/21:06:34.921272,14,-0.491518864709787,-0.275556969280246,0.256405506500893
2022/10/20/21:06:34.922395,15,-0.491515636069823,-0.275575281618216,0.256400039482935
2022/10/20/21:06:34.923544,16,-0.491507078146577,-0.275563110263461,0.25639829393274
2022/10/20/21:06:34.925303,17,-0.491505051393005,-0.2755700802316,0.256409503503656
2022/10/20/21:06:34.927496,18,-0.491514482961949,-0.275565550333586,0.256409425697054
2022/10/20/21:06:34.930924,19,-0.491525043575752,-0.275566452557652,0.256422116023659
2022/10/20/21:06:34.932108,20,-0.491507028046141,-0.275548280702322,0.256390530524746
2022/10/20/21:06:34.933171,21,-0.491507035694414,-0.275570493497735,0.25642803492709
2022/10/20/21:06:34.935399,22,-0.491518319190448,-0.275577403536447,0.2564205415112
2022/10/20/21:06:34.937067,23,-0.491502838637323,-0.275574041252805,0.256415404073586
2022/10/20/21:06:34.939322,24,-0.491505552927233,-0.275575423909507,0.256406414382183
2022/10/20/21:06:34.941610,25,-0.491508000887232,-0.275575133645545,0.256383543493409
2022/10/20/21:06:34.943244,26,-0.491497211418962,-0.275573348485808,0.256417114600222
2022/10/20/21:06:34.945493,27,-0.491522439117507,-0.275579948935944,0.256428517150479
2022/10/20/21:06:34.947229,28,-0.491519416644024,-0.275571699661252,0.256426589852375
2022/10/20/21:06:34.949422,29,-0.491518674898927,-0.275562762629298,0.256388107084605
2022/10/20/21:06:34.951085,30,-0.491526473519759,-0.275559524851474,0.25641918906001
2022/10/20/21:06:34.953343,31,-0.491525236193496,-0.275565007997673,0.256412596676677
2022/10/20/21:06:34.955034,32,-0.491504735063551,-0.27557550915126,0.256403937498518
2022/10/20/21:06:34.957244,33,-0.49152255650227,-0.275576555306485,0.256409637099016
