,Resolution,4,,,,,,,,,,,,
time,Timestamp reduced res,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,,Unique timestamp,Force.z
2022/10/27/22:29:04.190491,2022/10/27/22:29:04.19,5710264,1666934944,189735247,tool0_controller,-1.819745004,0.032949745,0.019409958,0.001313214,0.003185328,0.000740861,,2022/10/27/22:29:04.19,0.019409958
2022/10/27/22:29:04.192039,2022/10/27/22:29:04.19,5710265,1666934944,191701047,tool0_controller,-1.74942358,-0.173751661,0.124964758,0.001413205,0.003724101,-0.005278464,,2022/10/27/22:29:04.20,-0.026583957
2022/10/27/22:29:04.194272,2022/10/27/22:29:04.19,5710266,1666934944,193700151,tool0_controller,-1.855850661,0.272190281,0.189230242,-0.009620201,0.008621663,0.005576359,,2022/10/27/22:29:04.21,0.09889558
2022/10/27/22:29:04.195944,2022/10/27/22:29:04.19,5710267,1666934944,195701114,tool0_controller,-1.920468351,-0.269081884,0.185098751,-0.00042727,0.013793153,-0.005864922,,2022/10/27/22:29:04.22,0.216585514
2022/10/27/22:29:04.198182,2022/10/27/22:29:04.19,5710268,1666934944,197746619,tool0_controller,-1.757251718,0.069334971,0.243885847,0.001622881,0.008189837,-0.002019196,,2022/10/27/22:29:04.23,-0.077157659
2022/10/27/22:29:04.199873,2022/10/27/22:29:04.19,5710269,1666934944,199695809,tool0_controller,-1.741837316,-0.032726868,0.073473094,-0.004405308,0.003221035,-0.002813691,,2022/10/27/22:29:04.24,0.075399216
2022/10/27/22:29:04.202090,2022/10/27/22:29:04.20,5710270,1666934944,201685139,tool0_controller,-1.857409776,0.017286016,-0.026583957,0.000599577,0.007246137,-0.003109665,,2022/10/27/22:29:04.25,0.184634166
2022/10/27/22:29:04.203788,2022/10/27/22:29:04.20,5710271,1666934944,203674966,tool0_controller,-1.981450355,0.105190748,-0.067687191,0.002924289,0.012032987,-0.000714494,,2022/10/27/22:29:04.26,0.165022311
2022/10/27/22:29:04.206024,2022/10/27/22:29:04.20,5710272,1666934944,205681284,tool0_controller,-1.747605859,0.198758396,0.492270347,-0.004383773,0.000488195,0.002846033,,2022/10/27/22:29:04.27,0.131652753
2022/10/27/22:29:04.208267,2022/10/27/22:29:04.20,5710273,1666934944,207679807,tool0_controller,-1.912023262,-0.143066587,0.238451047,-0.007964438,0.009470297,-0.005108157,,2022/10/27/22:29:04.28,0.135886877
2022/10/27/22:29:04.209921,2022/10/27/22:29:04.20,5710274,1666934944,209686466,tool0_controller,-1.814612885,-0.00966046,0.213831142,-0.003932312,0.005976402,-0.00299305,,2022/10/27/22:29:04.29,0.247384075
2022/10/27/22:29:04.212129,2022/10/27/22:29:04.21,5710275,1666934944,211678326,tool0_controller,-1.659523109,-0.019011594,0.09889558,0.0021284,0.003421756,-0.006608084,,2022/10/27/22:29:04.30,0.129289588
2022/10/27/22:29:04.213804,2022/10/27/22:29:04.21,5710276,1666934944,213673074,tool0_controller,-1.753881965,-0.121725772,-0.11635507,-0.002443647,0.014054797,-0.006383101,,2022/10/27/22:29:04.31,0.133742296
2022/10/27/22:29:04.216014,2022/10/27/22:29:04.21,5710277,1666934944,215693672,tool0_controller,-1.658700795,0.183449121,0.370594437,-0.007991531,0.001754854,0.002498307,,2022/10/27/22:29:04.32,0.287687504
2022/10/27/22:29:04.218304,2022/10/27/22:29:04.21,5710278,1666934944,217677398,tool0_controller,-1.697406505,-0.114243719,0.322284148,0.000737725,0.007146264,-0.003403628,,2022/10/27/22:29:04.33,0.089796285
2022/10/27/22:29:04.219904,2022/10/27/22:29:04.21,5710279,1666934944,219678420,tool0_controller,-1.772679387,0.038359836,0.376171594,-0.004734503,0.006305079,0.000254512,,2022/10/27/22:29:04.34,0.043213283
2022/10/27/22:29:04.222122,2022/10/27/22:29:04.22,5710280,1666934944,221701252,tool0_controller,-1.814415487,0.02827134,0.216585514,-0.003545518,0.003540605,0.001547287,,2022/10/27/22:29:04.35,0.001387626
2022/10/27/22:29:04.223809,2022/10/27/22:29:04.22,5710281,1666934944,223684976,tool0_controller,-1.764253674,0.032535091,0.41786246,-0.006148608,-0.004948877,0.003121378,,2022/10/27/22:29:04.36,0.006611212
2022/10/27/22:29:04.226038,2022/10/27/22:29:04.22,5710282,1666934944,225699060,tool0_controller,-1.91539293,0.027087642,0.000722204,-0.003432665,0.006762851,0.002432157,,2022/10/27/22:29:04.37,-0.002850373
2022/10/27/22:29:04.228262,2022/10/27/22:29:04.22,5710283,1666934944,227705149,tool0_controller,-1.698720412,-0.216452688,0.168601568,-0.006620315,0.006442428,-0.008962987,,2022/10/27/22:29:04.38,0.022429848
2022/10/27/22:29:04.229920,2022/10/27/22:29:04.22,5710284,1666934944,229695272,tool0_controller,-1.794461066,0.1127102,0.226436707,-0.007587702,0.006308832,0.002632588,,2022/10/27/22:29:04.39,0.126940898
2022/10/27/22:29:04.232147,2022/10/27/22:29:04.23,5710285,1666934944,231693766,tool0_controller,-1.996701521,-0.07615204,-0.077157659,-0.003010883,0.009452062,-0.000571503,,2022/10/27/22:29:04.40,0.102641375
2022/10/27/22:29:04.233820,2022/10/27/22:29:04.23,5710286,1666934944,233695835,tool0_controller,-1.797961159,0.270767009,0.058975286,0.000781975,0.005162077,0.002619665,,2022/10/27/22:29:04.41,0.020324472
2022/10/27/22:29:04.236028,2022/10/27/22:29:04.23,5710287,1666934944,235712891,tool0_controller,-1.749720391,-0.148136389,-0.13976123,-0.00343615,0.009130136,-0.004295213,,2022/10/27/22:29:04.42,0.135950373
2022/10/27/22:29:04.238261,2022/10/27/22:29:04.23,5710288,1666934944,237693435,tool0_controller,-1.995812281,0.28635659,0.388453818,-0.002803381,-0.000413792,0.007766098,,2022/10/27/22:29:04.43,0.344825534
2022/10/27/22:29:04.239925,2022/10/27/22:29:04.23,5710289,1666934944,239682295,tool0_controller,-1.952044608,0.330230088,0.039082632,-0.003372124,0.011868906,0.005792776,,2022/10/27/22:29:04.44,0.44051319
2022/10/27/22:29:04.242161,2022/10/27/22:29:04.24,5710290,1666934944,241683563,tool0_controller,-1.889106869,0.175016823,0.075399216,-0.006469141,0.012339307,0.003606348,,2022/10/27/22:29:04.45,0.115216236
2022/10/27/22:29:04.243856,2022/10/27/22:29:04.24,5710291,1666934944,243689807,tool0_controller,-1.933297026,0.11871523,0.423458508,-0.005408744,0.005287772,-0.000658856,,2022/10/27/22:29:04.46,-0.167558657
2022/10/27/22:29:04.246150,2022/10/27/22:29:04.24,5710292,1666934944,245675272,tool0_controller,-1.855481167,0.117292811,0.31467373,-0.003183681,0.001746754,0.002659213,,2022/10/27/22:29:04.47,0.212903681
2022/10/27/22:29:04.248318,2022/10/27/22:29:04.24,5710293,1666934944,247714624,tool0_controller,-1.928164795,0.173354781,0.516509316,-0.000327713,-0.001446899,0.00060327,,2022/10/27/22:29:04.48,0.062279438
2022/10/27/22:29:04.250064,2022/10/27/22:29:04.25,5710294,1666934944,249692663,tool0_controller,-1.96073524,0.230741059,0.184634166,-0.003217925,0.010370608,0.003672564,,2022/10/27/22:29:04.49,0.270639615
2022/10/27/22:29:04.252248,2022/10/27/22:29:04.25,5710295,1666934944,251679849,tool0_controller,-2.00705932,0.017129096,0.501458848,-0.002129996,0.000608629,-0.001273178,,2022/10/27/22:29:04.50,0.197518471
2022/10/27/22:29:04.253937,2022/10/27/22:29:04.25,5710296,1666934944,253702810,tool0_controller,-1.84509856,-0.048850785,0.224683438,-0.001176502,0.009148086,-0.002983153,,2022/10/27/22:29:04.51,-0.12686084
2022/10/27/22:29:04.256177,2022/10/27/22:29:04.25,5710297,1666934944,255678206,tool0_controller,-1.88750025,0.206401976,0.512416343,-0.008626903,0.004820379,0.002719388,,2022/10/27/22:29:04.52,0.29561346
2022/10/27/22:29:04.257868,2022/10/27/22:29:04.25,5710298,1666934944,257682336,tool0_controller,-2.003056527,0.243456446,0.124007156,0.000274173,0.007357716,0.002860638,,2022/10/27/22:29:04.53,0.232510711
2022/10/27/22:29:04.260121,2022/10/27/22:29:04.26,5710299,1666934944,259681167,tool0_controller,-1.767295278,0.038104915,0.165022311,-0.009066435,-0.000996337,-0.001122889,,2022/10/27/22:29:04.54,0.221474542
2022/10/27/22:29:04.261787,2022/10/27/22:29:04.26,5710300,1666934944,261678755,tool0_controller,-1.884384643,0.272758783,0.168647583,-0.002864183,0.005867684,0.004856751,,2022/10/27/22:29:04.55,0.298437157
2022/10/27/22:29:04.264027,2022/10/27/22:29:04.26,5710301,1666934944,263683802,tool0_controller,-1.985443425,0.393878221,0.188687626,-0.001554299,0.006845709,0.008422898,,2022/10/27/22:29:04.56,0.149752515
2022/10/27/22:29:04.266276,2022/10/27/22:29:04.26,5710302,1666934944,265682706,tool0_controller,-1.92402137,-0.000669348,0.027748295,0.002193057,0.010770834,-0.00391423,,2022/10/27/22:29:04.57,0.319881207
