time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2022/10/27/22:32:53.923774,0,1666935173,923551876,base_link,0,0,0.10154136,0,0,0
2022/10/27/22:32:53.943512,1,1666935173,943294761,base_link,0,0,0.190244324,0,0,0
2022/10/27/22:32:53.963705,2,1666935173,963538138,base_link,0,0,0.279120179,0,0,0
2022/10/27/22:32:53.983876,3,1666935173,983570724,base_link,0,0,0.367996035,0,0,0
2022/10/27/22:32:54.003438,4,1666935174,3277608,base_link,0,0,0.461031191,0,0,0
2022/10/27/22:32:54.024232,5,1666935174,23971679,base_link,0,0,0.54649916,0,0,0
2022/10/27/22:32:54.043612,6,1666935174,43338862,base_link,0,0,0.637048521,0,0,0
2022/10/27/22:32:54.063402,7,1666935174,63249465,base_link,0,0,0.727120999,0,0,0
2022/10/27/22:32:54.083972,8,1666935174,83697123,base_link,0,0,0.812886608,0,0,0
2022/10/27/22:32:54.103610,9,1666935174,103403423,base_link,0,0,0.899130759,0,0,0
2022/10/27/22:32:54.123503,10,1666935174,123312391,base_link,0,0,0.99258453,0,0,0
2022/10/27/22:32:54.143555,11,1666935174,143347186,base_link,0,0,1.085237232,0,0,0
2022/10/27/22:32:54.163471,12,1666935174,163256112,base_link,0,0,1.172615613,0,0,0
2022/10/27/22:32:54.183964,13,1666935174,183671611,base_link,0,0,1.26058003,0,0,0
2022/10/27/22:32:54.203551,14,1666935174,203266215,base_link,0,0,1.34738459,0,0,0
2022/10/27/22:32:54.223575,15,1666935174,223329179,base_link,0,0,1.434318023,0,0,0
2022/10/27/22:32:54.243427,16,1666935174,243249946,base_link,0,0,1.521251456,0,0,0
2022/10/27/22:32:54.264461,17,1666935174,264141155,base_link,0,0,1.614402969,0,0,0
2022/10/27/22:32:54.283535,18,1666935174,283271182,base_link,0,0,1.706863584,0,0,0
2022/10/27/22:32:54.303468,19,1666935174,303281751,base_link,0,0,1.791337363,0,0,0
2022/10/27/22:32:54.323627,20,1666935174,323297091,base_link,0,0,1.876698568,0,0,0
2022/10/27/22:32:54.344429,21,1666935174,344172207,base_link,0,0,1.967869117,0,0,0
2022/10/27/22:32:54.363493,22,1666935174,363276400,base_link,0,0,2.058394183,0,0,0
2022/10/27/22:32:54.383986,23,1666935174,383646103,base_link,0,0,2.147095095,0,0,0
2022/10/27/22:32:54.404117,24,1666935174,403263145,base_link,0,0,2.235998691,0,0,0
2022/10/27/22:32:54.423437,25,1666935174,423266140,base_link,0,0,2.31942525,0,0,0
2022/10/27/22:32:54.443436,26,1666935174,443267844,base_link,0,0,2.403460368,0,0,0
2022/10/27/22:32:54.463557,27,1666935174,463333537,base_link,0,0,2.487495486,0,0,0
