,Resolution,4,,,,,,,,,,,,
time,Timestamp reduced res,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,,Unique timestamp,Force.z
2022/10/27/22:26:08.273415,2022/10/27/22:26:08.27,5622439,1666934768,272782503,tool0_controller,-1.992099918,0.446336582,-0.587101267,0.007712912,0.027802883,0.010731903,,2022/10/27/22:26:08.51,-0.280705512
2022/10/27/22:26:08.275098,2022/10/27/22:26:08.27,5622440,1666934768,274766022,tool0_controller,-2.045002419,-0.06381067,-0.744460253,0.009572373,0.035028425,0.000158912,,2022/10/27/22:26:08.52,-0.529337696
2022/10/27/22:26:08.277325,2022/10/27/22:26:08.27,5622441,1666934768,276766143,tool0_controller,-1.977791251,0.260975971,-0.670357201,0.007282446,0.030418637,0.00617687,,2022/10/27/22:26:08.53,-1.007406959
2022/10/27/22:26:08.279009,2022/10/27/22:26:08.27,5622442,1666934768,278759372,tool0_controller,-1.83669427,0.09125602,-0.497825522,0.01301039,0.024874014,0.00416856,,2022/10/27/22:26:08.54,-0.977833611
2022/10/27/22:26:08.281257,2022/10/27/22:26:08.28,5622443,1666934768,280774607,tool0_controller,-1.945653215,0.210839635,-0.92216853,0.008478149,0.036734724,0.005409335,,2022/10/27/22:26:08.55,-0.549263696
2022/10/27/22:26:08.282936,2022/10/27/22:26:08.28,5622444,1666934768,282760272,tool0_controller,-1.926455179,0.283856008,-0.772012084,0.000202806,0.032022604,0.009465784,,2022/10/27/22:26:08.56,-0.323234151
2022/10/27/22:26:08.285210,2022/10/27/22:26:08.28,5622445,1666934768,284822144,tool0_controller,-2.141502503,0.05308621,-0.654497771,0.007056301,0.031811099,0.011232152,,2022/10/27/22:26:08.57,-0.266638849
2022/10/27/22:26:08.287454,2022/10/27/22:26:08.28,5622446,1666934768,286811628,tool0_controller,-2.076516208,0.185553756,-0.682738858,0.00570983,0.028743819,0.011161392,,2022/10/27/22:26:08.58,-0.698194569
2022/10/27/22:26:08.289104,2022/10/27/22:26:08.28,5622447,1666934768,288816069,tool0_controller,-2.006867091,0.217743204,-0.519788665,0.005308563,0.024891483,0.005310822,,2022/10/27/22:26:08.59,-0.855764749
2022/10/27/22:26:08.291343,2022/10/27/22:26:08.29,5622448,1666934768,290827634,tool0_controller,-2.166063616,0.106685285,-1.129240041,0.008479381,0.041411665,-0.00098955,,2022/10/27/22:26:08.60,-0.625429321
2022/10/27/22:26:08.293038,2022/10/27/22:26:08.29,5622449,1666934768,292794658,tool0_controller,-1.97154648,0.508101972,-0.63682635,0.007648019,0.026459538,0.012281764,,2022/10/27/22:26:08.61,-0.645977141
2022/10/27/22:26:08.295279,2022/10/27/22:26:08.29,5622450,1666934768,294790511,tool0_controller,-1.969608319,0.15044178,-0.724853811,0.007095769,0.031377632,0.00915278,,2022/10/27/22:26:08.62,-0.729890388
2022/10/27/22:26:08.296963,2022/10/27/22:26:08.29,5622451,1666934768,296792944,tool0_controller,-2.12340064,0.073741689,-0.788443408,0.01034272,0.035506489,0.007932378,,2022/10/27/22:26:08.63,-0.94856567
2022/10/27/22:26:08.299214,2022/10/27/22:26:08.29,5622452,1666934768,298787009,tool0_controller,-2.008296085,-0.23856675,-0.780396184,0.010118001,0.031375923,-0.005457477,,2022/10/27/22:26:08.64,-0.119304251
2022/10/27/22:26:08.301445,2022/10/27/22:26:08.30,5622453,1666934768,300843689,tool0_controller,-2.116411165,0.115282158,-0.939619405,0.008918027,0.033574496,0.005520561,,2022/10/27/22:26:08.65,-0.618257122
2022/10/27/22:26:08.303140,2022/10/27/22:26:08.30,5622454,1666934768,302819324,tool0_controller,-1.964896551,0.309354104,-0.727453844,0.001134163,0.031235869,0.010816479,,2022/10/27/22:26:08.66,-0.807082119
2022/10/27/22:26:08.305374,2022/10/27/22:26:08.30,5622455,1666934768,304782767,tool0_controller,-1.746465295,-0.231434601,-0.632168269,0.007710487,0.026056742,0.002525235,,2022/10/27/22:26:08.67,-0.58575322
2022/10/27/22:26:08.307069,2022/10/27/22:26:08.30,5622456,1666934768,306773661,tool0_controller,-2.022244191,0.001224132,-0.525342403,0.003968522,0.027251609,0.009503018,,2022/10/27/22:26:08.68,-0.700243441
2022/10/27/22:26:08.309303,2022/10/27/22:26:08.30,5622457,1666934768,308768477,tool0_controller,-1.983977504,0.036325635,-0.80159549,0.003826065,0.03218586,0.011236708,,2022/10/27/22:26:08.69,-0.537221958
2022/10/27/22:26:08.310998,2022/10/27/22:26:08.31,5622458,1666934768,310807886,tool0_controller,-2.054775807,0.128197555,-0.624944399,0.005290882,0.028465805,0.009777706,,2022/10/27/22:26:08.70,-0.768360031
2022/10/27/22:26:08.313239,2022/10/27/22:26:08.31,5622459,1666934768,312765183,tool0_controller,-2.103836184,0.025397763,-0.592112529,-0.000502841,0.028523801,0.009114036,,2022/10/27/22:26:08.71,-0.882576729
2022/10/27/22:26:08.314912,2022/10/27/22:26:08.31,5622460,1666934768,314782524,tool0_controller,-1.915096916,-0.195019196,-0.77606839,0.006769121,0.029812169,0.001476438,,2022/10/27/22:26:08.72,-0.42199125
2022/10/27/22:26:08.317175,2022/10/27/22:26:08.31,5622461,1666934768,316767993,tool0_controller,-2.11477923,0.003174721,-0.750534661,0.006331144,0.033569348,0.008670138,,2022/10/27/22:26:08.73,-0.614291111
2022/10/27/22:26:08.319406,2022/10/27/22:26:08.31,5622462,1666934768,318776705,tool0_controller,-1.966370844,-0.191500066,-0.619529647,0.007678985,0.031225293,-9.52E-05,,2022/10/27/22:26:08.74,-0.866096526
2022/10/27/22:26:08.321097,2022/10/27/22:26:08.32,5622463,1666934768,320775427,tool0_controller,-2.129881571,0.110309004,-0.770613606,0.006424409,0.032506886,0.009596716,,2022/10/27/22:26:08.75,-0.823844131
2022/10/27/22:26:08.323332,2022/10/27/22:26:08.32,5622464,1666934768,322786527,tool0_controller,-2.072987707,0.045237443,-0.587655833,-0.002291877,0.029872415,0.007623764,,2022/10/27/22:26:08.76,-0.416312402
2022/10/27/22:26:08.325014,2022/10/27/22:26:08.32,5622465,1666934768,324782193,tool0_controller,-1.997665058,0.228434526,-0.69872552,0.00484238,0.024949665,0.008501441,,2022/10/27/22:26:08.77,-0.494378965
2022/10/27/22:26:08.327305,2022/10/27/22:26:08.32,5622466,1666934768,326777797,tool0_controller,-2.183482579,0.156756897,-0.565003277,0.005255181,0.027706177,0.005987788,,2022/10/27/22:26:08.78,-0.414604984
2022/10/27/22:26:08.328978,2022/10/27/22:26:08.32,5622467,1666934768,328777332,tool0_controller,-2.127344895,0.107255141,-0.973108982,0.01436423,0.035324675,0.00347316,,2022/10/27/22:26:08.79,-0.360430293
2022/10/27/22:26:08.331197,2022/10/27/22:26:08.33,5622468,1666934768,330785028,tool0_controller,-1.985331635,0.263060934,-0.64248772,0.011385514,0.026517432,0.005774099,,2022/10/27/22:26:08.80,-0.548887511
2022/10/27/22:26:08.332884,2022/10/27/22:26:08.33,5622469,1666934768,332782210,tool0_controller,-2.160497877,0.267325085,-0.780257871,0.010795172,0.033997971,0.006399637,,2022/10/27/22:26:08.81,-0.659534624
2022/10/27/22:26:08.335129,2022/10/27/22:26:08.33,5622470,1666934768,334795350,tool0_controller,-2.09441781,0.273300683,-0.646206162,0.013403199,0.027466353,0.005052527,,2022/10/27/22:26:08.82,-0.663198084
2022/10/27/22:26:08.337381,2022/10/27/22:26:08.33,5622471,1666934768,336833489,tool0_controller,-2.142543523,0.392391,-0.759805934,0.014709122,0.03183208,0.008988723,,2022/10/27/22:26:08.83,-0.616504491
2022/10/27/22:26:08.339056,2022/10/27/22:26:08.33,5622472,1666934768,338809956,tool0_controller,-2.069977987,0.164701378,-0.709310295,0.005732325,0.031246142,0.007305643,,2022/10/27/22:26:08.84,-0.546057697
2022/10/27/22:26:08.341310,2022/10/27/22:26:08.34,5622473,1666934768,340817827,tool0_controller,-2.088964552,0.118423501,-0.767889285,0.005862858,0.031347906,0.005955394,,2022/10/27/22:26:08.85,-0.56115282
2022/10/27/22:26:08.342983,2022/10/27/22:26:08.34,5622474,1666934768,342802525,tool0_controller,-2.193426998,-0.011103298,-0.658627919,0.0088454,0.027364817,0.002959459,,2022/10/27/22:26:08.86,-0.744989636
2022/10/27/22:26:08.345218,2022/10/27/22:26:08.34,5622475,1666934768,344814845,tool0_controller,-2.251471372,0.027918795,-0.916330381,0.013862014,0.036855878,0.00422673,,2022/10/27/22:26:08.87,-0.689621701
2022/10/27/22:26:08.346912,2022/10/27/22:26:08.34,5622476,1666934768,346819079,tool0_controller,-2.248465584,0.192393081,-0.838715554,0.01152882,0.033829758,0.010431046,,2022/10/27/22:26:08.88,-0.828818599
2022/10/27/22:26:08.349202,2022/10/27/22:26:08.34,5622477,1666934768,348844241,tool0_controller,-2.212411267,0.255723228,-0.605436732,0.002257135,0.028627754,0.012683933,,2022/10/27/22:26:08.89,-0.652301863
2022/10/27/22:26:08.351438,2022/10/27/22:26:08.35,5622478,1666934768,350833222,tool0_controller,-2.183658641,-0.026573033,-1.029787578,0.006143386,0.036896199,0.007201132,,2022/10/27/22:26:08.90,-0.354916537
2022/10/27/22:26:08.353148,2022/10/27/22:26:08.35,5622479,1666934768,352851831,tool0_controller,-2.036788969,-0.024988812,-0.591881266,-0.001578003,0.026333798,0.006183958,,2022/10/27/22:26:08.91,-0.774915134
2022/10/27/22:26:08.355336,2022/10/27/22:26:08.35,5622480,1666934768,354875907,tool0_controller,-2.135222093,0.335902982,-0.550204976,0.005713676,0.026615511,0.015376182,,2022/10/27/22:26:08.92,-0.629702148
2022/10/27/22:26:08.357031,2022/10/27/22:26:08.35,5622481,1666934768,356817739,tool0_controller,-2.101619709,0.112690469,-0.726165161,0.009021788,0.028523068,0.006175081,,2022/10/27/22:26:08.93,-0.740748897
2022/10/27/22:26:08.359262,2022/10/27/22:26:08.35,5622482,1666934768,358807971,tool0_controller,-2.044166399,0.237440647,-0.653636999,0.003121213,0.030553648,0.006199575,,2022/10/27/22:26:08.94,-0.65787538
2022/10/27/22:26:08.361497,2022/10/27/22:26:08.36,5622483,1666934768,360834189,tool0_controller,-2.147969166,0.032586538,-0.622991263,0.005491437,0.031436242,0.006444093,,2022/10/27/22:26:08.95,-0.516760753
2022/10/27/22:26:08.363178,2022/10/27/22:26:08.36,5622484,1666934768,362809440,tool0_controller,-2.131418436,0.001390542,-0.956798956,-7.27E-07,0.032099007,0.00497142,,2022/10/27/22:26:08.96,-0.485169098
2022/10/27/22:26:08.365418,2022/10/27/22:26:08.36,5622485,1666934768,364810803,tool0_controller,-2.141101002,-0.0698079,-0.674405722,0.006378393,0.024144126,0.003575198,,2022/10/27/22:26:08.97,-1.232187411
2022/10/27/22:26:08.367128,2022/10/27/22:26:08.36,5622486,1666934768,366820590,tool0_controller,-2.179836176,0.469367884,-0.897773732,0.011162821,0.029672481,0.01472378,,2022/10/27/22:26:08.98,-0.596210234
2022/10/27/22:26:08.369337,2022/10/27/22:26:08.36,5622487,1666934768,368826885,tool0_controller,-2.079610076,0.35720586,-0.699187281,0.016379865,0.025958689,0.007280912,,2022/10/27/22:26:08.99,-0.635160105
2022/10/27/22:26:08.371014,2022/10/27/22:26:08.37,5622488,1666934768,370818443,tool0_controller,-2.164744319,-0.102626325,-0.750515195,0.002709663,0.033509626,0.001575956,,2022/10/27/22:26:09.00,-0.08689369
2022/10/27/22:26:08.373264,2022/10/27/22:26:08.37,5622489,1666934768,372835690,tool0_controller,-2.053060088,0.305016922,-0.39457148,0.007855504,0.029204812,0.014108582,,2022/10/27/22:26:09.01,-0.696856687
2022/10/27/22:26:08.375523,2022/10/27/22:26:08.37,5622490,1666934768,374829501,tool0_controller,-1.863074266,-0.135380298,-0.755898183,0.007970134,0.033563964,0.001367433,,2022/10/27/22:26:09.02,-1.169909396
2022/10/27/22:26:08.377214,2022/10/27/22:26:08.37,5622491,1666934768,376839134,tool0_controller,-2.020536196,0.24669385,-0.782584339,0.004943375,0.029422241,0.008476287,,2022/10/27/22:26:09.03,-0.880732424
2022/10/27/22:26:08.379497,2022/10/27/22:26:08.37,5622492,1666934768,378848671,tool0_controller,-1.978023342,0.284299934,-0.848836584,0.0122754,0.028478107,0.005719629,,2022/10/27/22:26:09.04,-0.787653134
2022/10/27/22:26:08.381157,2022/10/27/22:26:08.38,5622493,1666934768,380835058,tool0_controller,-2.080982388,0.085954785,-0.917707958,0.010254856,0.034520538,0.005846003,,2022/10/27/22:26:09.05,-0.245222303
2022/10/27/22:26:08.383419,2022/10/27/22:26:08.38,5622494,1666934768,382958033,tool0_controller,-2.121655599,0.365378099,-0.603149369,0.002565603,0.0338382,0.010957275,,2022/10/27/22:26:09.06,-0.827757866
2022/10/27/22:26:08.388627,2022/10/27/22:26:08.38,5622495,1666934768,388145837,tool0_controller,-2.108119276,0.12095311,-0.730621436,0.012054663,0.033025809,0.00661854,,2022/10/27/22:26:09.07,-0.414411735
2022/10/27/22:26:08.390922,2022/10/27/22:26:08.39,5622496,1666934768,390349714,tool0_controller,-2.100716453,0.563060477,-0.659879693,0.01062125,0.030420186,0.012933342,,2022/10/27/22:26:09.08,-0.459338978
2022/10/27/22:26:08.392700,2022/10/27/22:26:08.39,5622497,1666934768,392386873,tool0_controller,-2.110798306,0.033828695,-0.626500568,0.004726856,0.023714979,-0.000996755,,2022/10/27/22:26:09.09,-0.845677913
2022/10/27/22:26:08.394941,2022/10/27/22:26:08.39,5622498,1666934768,394487174,tool0_controller,-2.082019867,0.284940026,-0.627157707,0.015551669,0.016233979,0.005507886,,2022/10/27/22:26:09.10,-1.052752283
2022/10/27/22:26:08.397380,2022/10/27/22:26:08.39,5622499,1666934768,396570323,tool0_controller,-1.995860622,0.387161569,-0.615986063,0.006309954,0.026437705,0.011200379,,2022/10/27/22:26:09.11,-0.95613198
2022/10/27/22:26:08.399000,2022/10/27/22:26:08.39,5622500,1666934768,398544550,tool0_controller,-2.06710327,0.228288767,-0.830052748,0.008690658,0.036908337,0.009785698,,2022/10/27/22:26:09.12,-0.612121598
2022/10/27/22:26:08.401201,2022/10/27/22:26:08.40,5622501,1666934768,400552308,tool0_controller,-1.865304678,0.23442115,-0.473274456,0.011852914,0.030465215,0.005501622,,2022/10/27/22:26:09.13,-0.752179241
2022/10/27/22:26:08.402851,2022/10/27/22:26:08.40,5622502,1666934768,402515050,tool0_controller,-2.045054516,0.423906585,-0.337309965,0.01070107,0.028586693,0.009790311,,2022/10/27/22:26:09.14,-1.127267862
2022/10/27/22:26:08.405006,2022/10/27/22:26:08.40,5622503,1666934768,404548816,tool0_controller,-2.013791708,0.331941104,-0.635979286,0.005390891,0.027654364,0.011351173,,2022/10/27/22:26:09.15,-0.549893484
2022/10/27/22:26:08.406657,2022/10/27/22:26:08.40,5622504,1666934768,406483310,tool0_controller,-2.064209748,0.081315584,-0.610030091,0.010563868,0.018438866,0.008792675,,2022/10/27/22:26:09.16,-0.709690428
2022/10/27/22:26:08.408939,2022/10/27/22:26:08.40,5622505,1666934768,408477635,tool0_controller,-2.136971412,0.220458312,-0.673005998,0.007689831,0.027290266,0.011622609,,2022/10/27/22:26:09.17,-0.56270429
2022/10/27/22:26:08.410641,2022/10/27/22:26:08.41,5622506,1666934768,410358089,tool0_controller,-2.071336723,0.003692038,-0.63278474,0.007116894,0.027348347,0.010200265,,2022/10/27/22:26:09.18,-0.855788864
2022/10/27/22:26:08.412958,2022/10/27/22:26:08.41,5622507,1666934768,412348526,tool0_controller,-2.09610451,-0.164405619,-0.64860774,0.002459393,0.036421891,-4.12E-05,,2022/10/27/22:26:09.19,-0.845146842
2022/10/27/22:26:08.414494,2022/10/27/22:26:08.41,5622508,1666934768,414225674,tool0_controller,-1.997773753,-0.263780359,-0.81571731,0.008645979,0.038066406,-0.000790366,,2022/10/27/22:26:09.20,-0.855535259
2022/10/27/22:26:08.416229,2022/10/27/22:26:08.41,5622509,1666934768,415668056,tool0_controller,-1.98785997,-0.054733361,-0.715808343,0.003633907,0.02742319,0.002940089,,2022/10/27/22:26:09.21,-0.383200244
2022/10/27/22:26:08.417388,2022/10/27/22:26:08.41,5622510,1666934768,417060020,tool0_controller,-2.185708671,0.063576808,-0.853120805,0.003956196,0.029205292,0.004838469,,2022/10/27/22:26:09.22,-0.433065596
2022/10/27/22:26:08.419003,2022/10/27/22:26:08.41,5622511,1666934768,418667923,tool0_controller,-1.972571945,-0.007464386,-0.871878773,0.011483099,0.030513988,0.005186075,,2022/10/27/22:26:09.23,-1.104855059
2022/10/27/22:26:08.420665,2022/10/27/22:26:08.42,5622512,1666934768,420063399,tool0_controller,-2.101266159,0.294052111,-0.619931173,0.007192476,0.025366901,0.011076306,,2022/10/27/22:26:09.24,-0.848002752
2022/10/27/22:26:08.421785,2022/10/27/22:26:08.42,5622513,1666934768,421472905,tool0_controller,-2.068876431,0.019999036,-0.563004571,0.005081741,0.030697194,0.002601197,,2022/10/27/22:26:09.25,-0.628451715
2022/10/27/22:26:08.423516,2022/10/27/22:26:08.42,5622514,1666934768,423004970,tool0_controller,-1.956703873,0.380903257,-0.855979976,0.008422817,0.036654942,0.009035939,,2022/10/27/22:26:09.26,-0.697975009
2022/10/27/22:26:08.427535,2022/10/27/22:26:08.42,5622515,1666934768,424820664,tool0_controller,-2.137203078,0.123454907,-0.666923164,0.008462631,0.032436968,-0.000215814,,2022/10/27/22:26:09.27,-0.801332799
2022/10/27/22:26:08.431637,2022/10/27/22:26:08.43,5622516,1666934768,427123660,tool0_controller,-1.933607186,0.526063702,-0.979485594,0.010941678,0.032164273,0.009345646,,2022/10/27/22:26:09.28,-1.026703655
2022/10/27/22:26:08.431645,2022/10/27/22:26:08.43,5622517,1666934768,430002066,tool0_controller,-1.834991345,0.354852862,-0.516511262,0.009299637,0.018379017,0.004136618,,2022/10/27/22:26:09.29,-0.78863559
2022/10/27/22:26:08.432356,2022/10/27/22:26:08.43,5622518,1666934768,431790079,tool0_controller,-1.936836391,0.140556869,-0.647376035,0.00419809,0.030348622,0.001551272,,2022/10/27/22:26:09.30,-0.189847135
2022/10/27/22:26:08.434061,2022/10/27/22:26:08.43,5622519,1666934768,433562086,tool0_controller,-2.060027199,-0.009966156,-0.730284975,0.013347597,0.038611961,0.000508672,,2022/10/27/22:26:09.31,-0.899817762
2022/10/27/22:26:08.435735,2022/10/27/22:26:08.43,5622520,1666934768,435335666,tool0_controller,-2.031345833,0.215745133,-0.947964396,0.014336054,0.038764796,0.006807071,,2022/10/27/22:26:09.32,-0.951643773
2022/10/27/22:26:08.437411,2022/10/27/22:26:08.43,5622521,1666934768,437122063,tool0_controller,-2.034959749,0.057182711,-0.694266954,0.004013407,0.030943264,0.00666796,,2022/10/27/22:26:09.33,-0.918287313
