time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2022/10/27/22:49:08.914163,0,1666936148,913962588,base_link,0.0,0.0,0.170447928853,0.0,0.0,0.0
2022/10/27/22:49:08.934343,1,1666936148,933928736,base_link,0.0,0.0,0.322770701984,0.0,0.0,0.0
2022/10/27/22:49:08.954091,2,1666936148,953927725,base_link,0.0,0.0,0.475003085888,0.0,0.0,0.0
2022/10/27/22:49:08.976868,3,1666936148,975419571,base_link,0.0,0.0,0.627246977415,0.0,0.0,0.0
2022/10/27/22:49:08.994626,4,1666936148,994043544,base_link,0.0,0.0,0.779489590318,0.0,0.0,0.0
2022/10/27/22:49:09.014791,5,1666936149,14586936,base_link,0.0,0.0,0.933096806307,0.0,0.0,0.0
2022/10/27/22:49:09.034132,6,1666936149,33969324,base_link,0.0,0.0,1.08655239973,0.0,0.0,0.0
2022/10/27/22:49:09.054086,7,1666936149,53949055,base_link,0.0,0.0,1.24000799315,0.0,0.0,0.0
2022/10/27/22:49:09.074453,8,1666936149,74228483,base_link,0.0,0.0,1.39303187293,0.0,0.0,0.0
2022/10/27/22:49:09.095370,9,1666936149,95064626,base_link,0.0,0.0,1.54610372089,0.0,0.0,0.0
2022/10/27/22:49:09.114106,10,1666936149,113927149,base_link,0.0,0.0,1.69786064193,0.0,0.0,0.0
2022/10/27/22:49:09.134226,11,1666936149,133975753,base_link,0.0,0.0,1.84976366596,0.0,0.0,0.0
2022/10/27/22:49:09.154491,12,1666936149,154200247,base_link,0.0,0.0,2.00134068893,0.0,0.0,0.0
2022/10/27/22:49:09.174107,13,1666936149,173910757,base_link,0.0,0.0,2.15293005624,0.0,0.0,0.0
2022/10/27/22:49:09.195703,14,1666936149,195378964,base_link,0.0,0.0,2.30367745857,0.0,0.0,0.0
2022/10/27/22:49:09.214061,15,1666936149,213928085,base_link,0.0,0.0,2.45451870735,0.0,0.0,0.0
2022/10/27/22:49:09.234579,16,1666936149,234071856,base_link,0.0,0.0,2.60604592563,0.0,0.0,0.0
2022/10/27/22:49:09.254134,17,1666936149,253915064,base_link,0.0,0.0,2.75749692509,0.0,0.0,0.0
2022/10/27/22:49:09.275778,18,1666936149,275593345,base_link,0.0,0.0,2.90894792454,0.0,0.0,0.0
2022/10/27/22:49:09.294129,19,1666936149,293926013,base_link,0.0,0.0,3.05958791229,0.0,0.0,0.0
2022/10/27/22:49:09.314090,20,1666936149,313930192,base_link,0.0,0.0,3.21031801246,0.0,0.0,0.0
2022/10/27/22:49:09.334123,21,1666936149,333923478,base_link,0.0,0.0,3.3608949959,0.0,0.0,0.0
2022/10/27/22:49:09.354151,22,1666936149,353919956,base_link,0.0,0.0,3.51148899231,0.0,0.0,0.0
