,Resolution,4,,,,,,,,,,,,
time,Timestamp reduced res,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,,Unique timestamp,Force.z
2022/10/27/22:32:45.625993,2022/10/27/22:32:45.62,5820774,1666935165,625575499,tool0_controller,-1.998994733,-0.062246227,-0.257672323,-0.070194261,0.02013915,-0.002325904,,2022/10/27/22:32:45.62,-0.257672323
2022/10/27/22:32:45.628154,2022/10/27/22:32:45.62,5820775,1666935165,627526414,tool0_controller,-1.845879089,-0.046773704,-0.135039444,-0.061994402,0.015766839,-0.004341582,,2022/10/27/22:32:45.63,-0.092574262
2022/10/27/22:32:45.629834,2022/10/27/22:32:45.62,5820776,1666935165,629491919,tool0_controller,-1.833386659,-0.274365916,-0.087435998,-0.066989536,0.00985728,-0.005195139,,2022/10/27/22:32:45.64,-0.098790558
2022/10/27/22:32:45.632057,2022/10/27/22:32:45.63,5820777,1666935165,631500731,tool0_controller,-1.921894225,0.295403737,-0.092574262,-0.059468615,0.013081269,0.004340831,,2022/10/27/22:32:45.65,0.061387479
2022/10/27/22:32:45.633735,2022/10/27/22:32:45.63,5820778,1666935165,633493735,tool0_controller,-1.981140447,0.124577377,0.003890964,-0.071909614,0.010401005,0.0019105,,2022/10/27/22:32:45.66,-0.098616484
2022/10/27/22:32:45.635981,2022/10/27/22:32:45.63,5820779,1666935165,635497468,tool0_controller,-1.955666255,0.0134286,-0.359293483,-0.064258822,0.017294281,7.15E-05,,2022/10/27/22:32:45.67,-0.248574179
2022/10/27/22:32:45.637659,2022/10/27/22:32:45.63,5820780,1666935165,637494089,tool0_controller,-2.079954058,-0.254318791,-0.481846123,-0.061322674,0.022739672,-0.00280001,,2022/10/27/22:32:45.68,-0.076475451
2022/10/27/22:32:45.639899,2022/10/27/22:32:45.63,5820781,1666935165,639501024,tool0_controller,-1.939318697,0.021383999,-0.056190353,-0.065292077,0.008739248,0.00271213,,2022/10/27/22:32:45.69,-0.34520328
2022/10/27/22:32:45.642125,2022/10/27/22:32:45.64,5820782,1666935165,641515029,tool0_controller,-2.066145467,-0.145693444,-0.098790558,-0.061320662,0.012803468,-0.003699413,,2022/10/27/22:32:45.70,-0.196189267
2022/10/27/22:32:45.643813,2022/10/27/22:32:45.64,5820783,1666935165,643489470,tool0_controller,-1.968893638,-0.198260855,-0.259932279,-0.068097377,0.019015918,-0.004426821,,2022/10/27/22:32:45.71,-0.418232533
2022/10/27/22:32:45.646049,2022/10/27/22:32:45.64,5820784,1666935165,645475198,tool0_controller,-2.03939923,-0.105685098,-0.374213171,-0.060242132,0.017748977,0.001586257,,2022/10/27/22:32:45.72,-0.246391771
2022/10/27/22:32:45.647745,2022/10/27/22:32:45.64,5820785,1666935165,647492062,tool0_controller,-2.075254176,-0.315626124,-0.246216616,-0.06118047,0.016520019,-0.002178719,,2022/10/27/22:32:45.73,-0.239617194
2022/10/27/22:32:45.649986,2022/10/27/22:32:45.64,5820786,1666935165,649478329,tool0_controller,-2.065117425,-0.038660739,0.050376298,-0.06556987,0.008844636,-0.000207086,,2022/10/27/22:32:45.74,-0.210295495
2022/10/27/22:32:45.651675,2022/10/27/22:32:45.65,5820787,1666935165,651525457,tool0_controller,-2.092433423,0.019469804,0.061387479,-0.066172966,0.011561064,0.003274704,,2022/10/27/22:32:45.75,-0.048776532
2022/10/27/22:32:45.653910,2022/10/27/22:32:45.65,5820788,1666935165,653479440,tool0_controller,-2.042870759,-0.264853011,-0.325678606,-0.057906824,0.021106591,-0.006953788,,2022/10/27/22:32:45.76,-0.426178253
