time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2022/10/27/22:41:11.472870,0,1666935671,471720821,base_link,0.0,0.0,0.171293802533,0.0,0.0,0.0
2022/10/27/22:41:11.490940,1,1666935671,490740822,base_link,0.0,0.0,0.323313240315,0.0,0.0,0.0
2022/10/27/22:41:11.512272,2,1666935671,511922056,base_link,0.0,0.0,0.475359535877,0.0,0.0,0.0
2022/10/27/22:41:11.535570,3,1666935671,530867514,base_link,0.0,0.0,0.627790388588,0.0,0.0,0.0
2022/10/27/22:41:11.552866,4,1666935671,552291265,base_link,0.0,0.0,0.780178512727,0.0,0.0,0.0
2022/10/27/22:41:11.570953,5,1666935671,570765166,base_link,0.0,0.0,0.933446972867,0.0,0.0,0.0
2022/10/27/22:41:11.592416,6,1666935671,592200181,base_link,0.0,0.0,1.0866176179,0.0,0.0,0.0
2022/10/27/22:41:11.610887,7,1666935671,610722829,base_link,0.0,0.0,1.23705526928,0.0,0.0,0.0
2022/10/27/22:41:11.631787,8,1666935671,631642007,base_link,0.0,0.0,1.38779658663,0.0,0.0,0.0
2022/10/27/22:41:11.651262,9,1666935671,650767769,base_link,0.0,0.0,1.53853790398,0.0,0.0,0.0
2022/10/27/22:41:11.670926,10,1666935671,670737995,base_link,0.0,0.0,1.69003393655,0.0,0.0,0.0
2022/10/27/22:41:11.691023,11,1666935671,690766214,base_link,0.0,0.0,1.84144611188,0.0,0.0,0.0
2022/10/27/22:41:11.711461,12,1666935671,710738654,base_link,0.0,0.0,1.99383080963,0.0,0.0,0.0
2022/10/27/22:41:11.731664,13,1666935671,731443867,base_link,0.0,0.0,2.1446056231,0.0,0.0,0.0
2022/10/27/22:41:11.750947,14,1666935671,750723878,base_link,0.0,0.0,2.29542569078,0.0,0.0,0.0
2022/10/27/22:41:11.770964,15,1666935671,770732767,base_link,0.0,0.0,2.44625927128,0.0,0.0,0.0
2022/10/27/22:41:11.791005,16,1666935671,790728622,base_link,0.0,0.0,2.59710815895,0.0,0.0,0.0
2022/10/27/22:41:11.810884,17,1666935671,810728435,base_link,0.0,0.0,2.74795534582,0.0,0.0,0.0
2022/10/27/22:41:11.831965,18,1666935671,831722362,base_link,0.0,0.0,2.89880253269,0.0,0.0,0.0
2022/10/27/22:41:11.851278,19,1666935671,851079376,base_link,0.0,0.0,3.04988918395,0.0,0.0,0.0
2022/10/27/22:41:11.870907,20,1666935671,870786648,base_link,0.0,0.0,3.20094922806,0.0,0.0,0.0
2022/10/27/22:41:11.891193,21,1666935671,891037566,base_link,0.0,0.0,3.35217681962,0.0,0.0,0.0
