time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2022/10/20/23:15:39.536349,0,1666332939,535961660,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/23:15:39.556527,1,1666332939,555952307,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/23:15:39.576227,2,1666332939,575917699,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/23:15:39.596228,3,1666332939,595907503,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/23:15:39.616254,4,1666332939,615921596,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/23:15:39.636244,5,1666332939,635910284,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/23:15:39.656330,6,1666332939,655920988,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/23:15:39.676090,7,1666332939,675917291,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/23:15:39.696217,8,1666332939,695917725,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/23:15:39.716254,9,1666332939,715911649,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/23:15:39.736224,10,1666332939,735914071,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/23:15:39.756332,11,1666332939,755915210,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/23:15:39.776181,12,1666332939,775909961,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/23:15:39.796237,13,1666332939,795920162,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/23:15:39.816259,14,1666332939,815915308,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/23:15:39.836134,15,1666332939,835901534,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/23:15:39.856370,16,1666332939,855909183,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/23:15:39.876222,17,1666332939,875943966,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/23:15:39.896381,18,1666332939,895911747,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/23:15:39.916428,19,1666332939,915926740,base_link,0.0,0.0,0.0,0.0,0.0,0.0
