time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2022/10/20/21:18:50.991771,0,1666325930,991202070,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:18:51.011733,1,1666325931,11161181,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:18:51.031495,2,1666325931,31183510,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:18:51.051887,3,1666325931,51171792,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:18:51.073118,4,1666325931,71150136,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:18:51.092572,5,1666325931,92228909,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:18:51.111529,6,1666325931,111151423,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:18:51.131313,7,1666325931,131143552,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:18:51.151563,8,1666325931,151159001,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:18:51.171309,9,1666325931,171135928,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:18:51.191543,10,1666325931,191148661,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:18:51.211399,11,1666325931,211145878,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:18:51.231346,12,1666325931,231142921,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:18:51.251440,13,1666325931,251145345,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:18:51.272710,14,1666325931,271152317,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:18:51.291352,15,1666325931,291147723,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:18:51.311433,16,1666325931,311143074,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:18:51.331330,17,1666325931,331137454,base_link,0.0,0.0,0.0,0.0,0.0,0.0
