,Resolution,4,,,,,,,,,,,,
time,Timestamp reduced res,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,,Unique timestamp,Force.z
2022/10/27/22:18:55.617777,2022/10/27/22:18:55.61,5406507,1666934335,617418379,tool0_controller,-1.383741029,0.009263668,-0.321388115,0.006710483,0.019239867,0.005847154,,2022/10/27/22:18:55.83,-0.15625799
2022/10/27/22:18:55.620056,2022/10/27/22:18:55.62,5406508,1666934335,619443006,tool0_controller,-1.227945017,-0.078054844,-0.435307811,0.007650486,0.024702613,0.000973168,,2022/10/27/22:18:55.84,-0.38292158
2022/10/27/22:18:55.621726,2022/10/27/22:18:55.62,5406509,1666934335,621432157,tool0_controller,-1.157691478,0.120788179,-0.005535037,-0.000467448,0.014227031,0.005896802,,2022/10/27/22:18:55.85,-0.479807092
2022/10/27/22:18:55.624031,2022/10/27/22:18:55.62,5406510,1666934335,623433380,tool0_controller,-1.394168359,0.264763139,-0.403137439,0.005608525,0.023148142,0.004545612,,2022/10/27/22:18:55.86,-0.46781826
2022/10/27/22:18:55.625697,2022/10/27/22:18:55.62,5406511,1666934335,625415003,tool0_controller,-1.241163461,0.151716495,-0.698362184,0.007984573,0.021727151,-0.000745709,,2022/10/27/22:18:55.87,-0.472214941
2022/10/27/22:18:55.627961,2022/10/27/22:18:55.62,5406512,1666934335,627581348,tool0_controller,-1.261056423,-0.091176828,-0.520661208,0.003326428,0.01847384,-0.001389062,,2022/10/27/22:18:55.88,-0.209455436
2022/10/27/22:18:55.629662,2022/10/27/22:18:55.62,5406513,1666934335,629479024,tool0_controller,-1.382161075,0.158800309,-0.460762229,0.007680965,0.025781262,0.007968037,,2022/10/27/22:18:55.89,-0.672274112
2022/10/27/22:18:55.634347,2022/10/27/22:18:55.63,5406514,1666934335,634108637,tool0_controller,-1.252012742,-0.201536672,-0.37856204,0.008667486,0.023237785,-0.00387025,,2022/10/27/22:18:55.90,-0.208784393
2022/10/27/22:18:55.640612,2022/10/27/22:18:55.64,5406515,1666934335,640250095,tool0_controller,-1.282205323,0.417253243,-0.465932036,0.008519238,0.028356237,0.009400855,,2022/10/27/22:18:55.91,-0.348523631
2022/10/27/22:18:55.645541,2022/10/27/22:18:55.64,5406516,1666934335,644977007,tool0_controller,-1.369248522,0.029160681,-0.719499665,0.008311516,0.032058618,0.00077328,,2022/10/27/22:18:55.92,-0.754439691
2022/10/27/22:18:55.649439,2022/10/27/22:18:55.64,5406517,1666934335,648716742,tool0_controller,-1.270452289,-0.090405487,-0.658933305,0.00337546,0.02109831,0.000823149,,2022/10/27/22:18:55.93,-0.654242882
2022/10/27/22:18:55.657179,2022/10/27/22:18:55.65,5406518,1666934335,656776545,tool0_controller,-1.471401833,0.413484571,-0.787389245,0.002975662,0.024685813,0.013419373,,2022/10/27/22:18:55.94,-0.526174034
2022/10/27/22:18:55.659851,2022/10/27/22:18:55.65,5406519,1666934335,659266208,tool0_controller,-1.257079536,0.270882342,-0.468950057,0.005719363,0.020059277,0.011009765,,2022/10/27/22:18:55.95,-0.4926254
2022/10/27/22:18:55.662105,2022/10/27/22:18:55.66,5406520,1666934335,661727323,tool0_controller,-1.296982153,0.129063325,-0.370642997,0.009559551,0.027540756,0.005099153,,2022/10/27/22:18:55.96,-0.306968106
2022/10/27/22:18:55.664521,2022/10/27/22:18:55.66,5406521,1666934335,664049212,tool0_controller,-1.205480905,-0.020782223,-0.504747902,0.003571885,0.032952727,0.003603889,,2022/10/27/22:18:55.97,-0.63120452
2022/10/27/22:18:55.666140,2022/10/27/22:18:55.66,5406522,1666934335,665898186,tool0_controller,-1.235002211,0.046354948,-0.265422622,0.006538568,0.023112932,0.001358068,,2022/10/27/22:18:55.98,-0.826388769
2022/10/27/22:18:55.669426,2022/10/27/22:18:55.66,5406523,1666934335,667653806,tool0_controller,-1.332312203,0.392761717,-0.452214429,-0.003041304,0.023225313,0.011207569,,2022/10/27/22:18:55.99,-0.26472849
