,resolution,4,,,,,,,,,,,
time,Timestamp reduced res,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,Unique timestamp,Force.z
2022/10/20/22:00:00.896742,2022/10/20/22:00:00.89,3398940,1666328400,896437479,tool0_controller,-0.108051456,-0.541808575,1.001306441,-0.111438358,0.050571672,0.002685465,2022/10/20/22:00:01.11,-0.606606453
2022/10/20/22:00:00.898926,2022/10/20/22:00:00.89,3398941,1666328400,898433284,tool0_controller,-0.122529728,-0.424884105,0.112169632,-0.118340132,0.026480858,0.003877322,2022/10/20/22:00:01.12,-0.268770329
2022/10/20/22:00:00.900631,2022/10/20/22:00:00.90,3398942,1666328400,900436524,tool0_controller,0.351863236,0.347240418,-0.503592786,-0.067716516,-0.02871219,-0.011018065,2022/10/20/22:00:01.13,-0.864664383
2022/10/20/22:00:00.902885,2022/10/20/22:00:00.90,3398943,1666328400,902419095,tool0_controller,0.161037669,0.860660489,-0.930622584,-0.038388984,-0.039864935,-0.018439119,2022/10/20/22:00:01.14,-0.095873175
2022/10/20/22:00:00.904657,2022/10/20/22:00:00.90,3398944,1666328400,904445347,tool0_controller,0.06991693,0.160687075,-0.21060966,-0.053857165,-0.020345051,-0.01979837,2022/10/20/22:00:01.15,-0.216642344
2022/10/20/22:00:00.909657,2022/10/20/22:00:00.90,3398945,1666328400,909062384,tool0_controller,-0.377391912,-0.083201848,0.316011284,-0.090270611,0.020913753,0.011515924,2022/10/20/22:00:01.16,-0.665809731
2022/10/20/22:00:00.914674,2022/10/20/22:00:00.91,3398946,1666328400,913993962,tool0_controller,-0.122913263,-0.630390518,0.452293002,-0.113138028,0.029179424,0.015129359,2022/10/20/22:00:01.17,0.121865704
2022/10/20/22:00:00.918716,2022/10/20/22:00:00.91,3398947,1666328400,918533015,tool0_controller,0.028822475,-0.350965259,0.143655393,-0.077158081,0.01683498,-0.002412815,2022/10/20/22:00:01.18,-1.296939298
2022/10/20/22:00:00.922643,2022/10/20/22:00:00.92,3398948,1666328400,922266817,tool0_controller,-0.000706034,0.550814149,-0.091731682,-0.047836486,-0.006670774,-0.024466172,2022/10/20/22:00:01.19,-0.361927203
2022/10/20/22:00:00.925386,2022/10/20/22:00:00.92,3398949,1666328400,925024206,tool0_controller,-0.079430437,0.496797001,-0.459694066,-0.05552512,-0.012850455,-0.022873297,2022/10/20/22:00:01.20,-0.934837987
2022/10/20/22:00:00.928180,2022/10/20/22:00:00.92,3398950,1666328400,927715574,tool0_controller,-0.345893386,0.072507893,-0.456540702,-0.089054489,-0.001234171,-0.008392887,2022/10/20/22:00:01.21,0.154630219
2022/10/20/22:00:00.930994,2022/10/20/22:00:00.93,3398951,1666328400,930432769,tool0_controller,-0.4787006,-0.675261782,-0.593511316,-0.096898017,0.004712278,0.010732695,2022/10/20/22:00:01.22,-0.24276168
2022/10/20/22:00:00.932685,2022/10/20/22:00:00.93,3398952,1666328400,932294132,tool0_controller,-0.428604139,-0.80981997,-0.771090931,-0.094086056,-0.014174632,0.022805564,2022/10/20/22:00:01.23,2.095170208
2022/10/20/22:00:00.934369,2022/10/20/22:00:00.93,3398953,1666328400,934132062,tool0_controller,0.436042829,-0.07001055,0.646677494,-0.083631007,-0.038514852,0.008363421,2022/10/20/22:00:01.24,1.557381754
2022/10/20/22:00:00.936623,2022/10/20/22:00:00.93,3398954,1666328400,935975377,tool0_controller,0.598376278,1.35310631,1.493552724,-0.061907381,0.018659419,-0.017732443,2022/10/20/22:00:01.25,0.416801946
2022/10/20/22:00:00.938315,2022/10/20/22:00:00.93,3398955,1666328400,937797943,tool0_controller,-0.405288935,1.333653927,0.899729251,-0.047492945,0.102297604,-0.04010562,2022/10/20/22:00:01.26,0.993847572
2022/10/20/22:00:00.940016,2022/10/20/22:00:00.94,3398956,1666328400,939734245,tool0_controller,-0.742572538,0.066913993,-0.57072594,-0.085653275,0.06451527,-0.005530877,2022/10/20/22:00:01.27,0.537962879
2022/10/20/22:00:00.941752,2022/10/20/22:00:00.94,3398957,1666328400,941343871,tool0_controller,-0.268803873,-1.901778224,-1.624997485,-0.147933984,-0.054129313,0.031951518,2022/10/20/22:00:01.28,0.098777141
2022/10/20/22:00:00.942851,2022/10/20/22:00:00.94,3398958,1666328400,942655798,tool0_controller,0.104403456,-1.897474669,-1.465148678,-0.141031455,-0.118830214,0.041166204,2022/10/20/22:00:01.29,-0.179801731
2022/10/20/22:00:00.944545,2022/10/20/22:00:00.94,3398959,1666328400,943930855,tool0_controller,0.716014364,-0.074941467,-1.301205297,-0.027575141,-0.081672868,-0.000695183,2022/10/20/22:00:01.30,-1.058217468
2022/10/20/22:00:00.947885,2022/10/20/22:00:00.94,3398960,1666328400,945262269,tool0_controller,0.549727295,2.1144023,0.407075233,0.030431345,0.013690022,-0.040716986,2022/10/20/22:00:01.31,-1.766462836
2022/10/20/22:00:00.949395,2022/10/20/22:00:00.94,3398961,1666328400,948697890,tool0_controller,0.548054441,-0.339965745,1.471114206,-0.145001756,0.069865461,0.004518577,2022/10/20/22:00:01.32,-1.441652087
2022/10/20/22:00:00.950539,2022/10/20/22:00:00.95,3398962,1666328400,949987661,tool0_controller,0.201924049,-1.022869934,0.12589178,-0.177306675,0.002751697,0.021557102,2022/10/20/22:00:01.33,-0.317897776
2022/10/20/22:00:00.951682,2022/10/20/22:00:00.95,3398963,1666328400,951332961,tool0_controller,0.035816069,-0.131349095,-0.919592539,-0.095194036,-0.059804314,-0.002913066,2022/10/20/22:00:01.34,1.177215412
2022/10/20/22:00:00.952841,2022/10/20/22:00:00.95,3398964,1666328400,952671901,tool0_controller,0.156807087,0.712155268,-0.809862412,-0.010797131,-0.068111269,-0.031200796,2022/10/20/22:00:01.35,0.348948019
2022/10/20/22:00:00.954535,2022/10/20/22:00:00.95,3398965,1666328400,953979481,tool0_controller,0.121908567,1.239245142,-0.029754778,-0.008226479,-0.014873815,-0.020582305,2022/10/20/22:00:01.36,-0.753495231
2022/10/20/22:00:00.955698,2022/10/20/22:00:00.95,3398966,1666328400,955392522,tool0_controller,-0.1735752,0.324518981,0.867171659,-0.064574912,0.046780083,-5.32E-05,2022/10/20/22:00:01.37,1.274692541
2022/10/20/22:00:00.957311,2022/10/20/22:00:00.95,3398967,1666328400,956732131,tool0_controller,-0.703691461,-0.813707208,0.810034012,-0.119016136,0.071087589,0.005969988,2022/10/20/22:00:01.38,1.739599181
2022/10/20/22:00:00.958478,2022/10/20/22:00:00.95,3398968,1666328400,958019207,tool0_controller,-0.053623737,-0.92066733,0.202586721,-0.131150943,0.008270619,0.014630624,2022/10/20/22:00:01.39,1.522055632
2022/10/20/22:00:00.959563,2022/10/20/22:00:00.95,3398969,1666328400,959334039,tool0_controller,0.181358071,0.055109458,-0.129230851,-0.08883396,-0.042038703,-0.00718786,2022/10/20/22:00:01.40,-1.160987851
