,Resolution,4,,,,,,,,,,,,
time,Timestamp reduced res,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,,Unique timestamp,Force.z
2022/10/20/21:06:57.719532,2022/10/20/21:06:57.71,1813904,1666325217,719340022,tool0_controller,-0.504819111,-0.121800558,-0.790283853,0.055285624,-0.001519986,0.012572447,,2022/10/20/21:06:57.71,-0.790283853
2022/10/20/21:06:57.721550,2022/10/20/21:06:57.72,1813905,1666325217,721172843,tool0_controller,-0.275249916,0.204345319,-0.667027728,0.054796265,-0.017733589,0.010202644,,2022/10/20/21:06:57.72,-0.667027728
2022/10/20/21:06:57.723887,2022/10/20/21:06:57.72,1813906,1666325217,723110619,tool0_controller,0.109855872,-0.121945762,-0.623014761,0.052884276,-0.021798428,0.001733693,,2022/10/20/21:06:57.73,-0.201391559
2022/10/20/21:06:57.725536,2022/10/20/21:06:57.72,1813907,1666325217,725199474,tool0_controller,0.083010179,0.054777903,-0.461136493,0.052057323,-0.007848715,0.004375962,,2022/10/20/21:06:57.74,-0.585730068
2022/10/20/21:06:57.728303,2022/10/20/21:06:57.72,1813908,1666325217,727869851,tool0_controller,0.038773652,0.167876991,-0.077174995,0.050312284,0.001606127,0.005893444,,2022/10/20/21:06:57.75,-0.100386772
2022/10/20/21:06:57.730508,2022/10/20/21:06:57.73,1813909,1666325217,729916510,tool0_controller,0.166459176,-0.141575429,-0.201391559,0.050314479,0.009178731,0.002495135,,2022/10/20/21:06:57.76,0.465946649
2022/10/20/21:06:57.732493,2022/10/20/21:06:57.73,1813910,1666325217,731884667,tool0_controller,0.217420113,0.144899564,-0.182783663,0.051559921,0.001338883,0.00675576,,2022/10/20/21:06:57.77,-1.08351116
2022/10/20/21:06:57.733855,2022/10/20/21:06:57.73,1813911,1666325217,733491682,tool0_controller,0.138639216,0.178853698,-0.483863471,0.051108732,-0.000573785,-0.002203974,,2022/10/20/21:06:57.78,-0.578083995
2022/10/20/21:06:57.735625,2022/10/20/21:06:57.73,1813912,1666325217,735217059,tool0_controller,-0.081637703,0.262110141,-0.457869407,0.051040551,-0.004250846,-0.002755043,,2022/10/20/21:06:57.79,-0.680117145
2022/10/20/21:06:57.737737,2022/10/20/21:06:57.73,1813913,1666325217,737172465,tool0_controller,-0.292429818,0.235554771,-0.155628675,0.041342221,0.011517436,2.54E-05,,2022/10/20/21:06:57.80,0.072500131
