time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2022/10/20/21:07:03.052923,0,1666325223,52522771,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.072896,1,1666325223,72426437,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.092664,2,1666325223,92413633,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.112886,3,1666325223,112432333,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.132678,4,1666325223,132413827,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.152777,5,1666325223,152447778,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.172761,6,1666325223,172418074,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.192603,7,1666325223,192410316,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.213519,8,1666325223,213169690,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.232890,9,1666325223,232432942,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.252822,10,1666325223,252446426,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.272620,11,1666325223,272417318,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.292693,12,1666325223,292424134,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.312868,13,1666325223,312425945,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.333685,14,1666325223,333336334,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.353941,15,1666325223,352416771,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.372639,16,1666325223,372414239,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.393233,17,1666325223,392859000,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.412667,18,1666325223,412418627,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.432696,19,1666325223,432412780,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.452769,20,1666325223,452464023,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.472676,21,1666325223,472412070,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.492706,22,1666325223,492420111,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.512810,23,1666325223,512446523,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.533307,24,1666325223,532426957,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.552669,25,1666325223,552402530,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.572829,26,1666325223,572442436,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.593558,27,1666325223,593273731,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.612634,28,1666325223,612416097,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.632642,29,1666325223,632414850,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.654364,30,1666325223,654078089,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.672563,31,1666325223,672407378,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.692799,32,1666325223,692432890,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.712693,33,1666325223,712413265,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.732618,34,1666325223,732411210,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.754395,35,1666325223,753959535,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.772575,36,1666325223,772411754,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.792775,37,1666325223,792435208,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.812700,38,1666325223,812422562,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.832598,39,1666325223,832413318,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.852648,40,1666325223,852415109,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.872675,41,1666325223,872426010,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.893578,42,1666325223,892445657,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.912854,43,1666325223,912427151,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.932595,44,1666325223,932413591,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.952790,45,1666325223,952487411,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.973252,46,1666325223,972993453,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:03.992687,47,1666325223,992421595,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.012613,48,1666325224,12418092,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.032664,49,1666325224,32416426,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.052763,50,1666325224,52418235,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.072696,51,1666325224,72419879,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.095970,52,1666325224,95737337,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.112612,53,1666325224,112408443,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.132653,54,1666325224,132413981,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.152641,55,1666325224,152415444,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.172785,56,1666325224,172420441,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.192757,57,1666325224,192416499,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.213779,58,1666325224,213485196,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.232910,59,1666325224,232419438,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.252655,60,1666325224,252415740,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.272748,61,1666325224,272418167,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.292710,62,1666325224,292417268,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.312650,63,1666325224,312418730,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.332687,64,1666325224,332419595,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.352721,65,1666325224,352445940,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.373470,66,1666325224,372418804,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.392632,67,1666325224,392417672,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.412671,68,1666325224,412418138,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.433142,69,1666325224,432778329,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.452670,70,1666325224,452413803,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.472704,71,1666325224,472418598,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.492693,72,1666325224,492414274,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/21:07:04.512697,73,1666325224,512428482,base_link,0.0,0.0,0.0,0.0,0.0,0.0
