,Resolution,4,,,,,,,,,,,
time,Timestamp reduced res,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,Unique Timestamp,Force.z
2022/10/20/21:26:55.836780,2022/10/20/21:26:55.83,2410177,1666326415,836438447,tool0_controller,-0.251757209,1.312004104,0.627465933,0.167137041,-0.029455889,0.017903413,2022/10/20/21:26:56.06,0.243458846
2022/10/20/21:26:55.838991,2022/10/20/21:26:55.83,2410178,1666326415,838454606,tool0_controller,-0.297366025,1.388067581,0.414922464,0.165564619,-0.017121853,0.015292313,2022/10/20/21:26:56.07,0.214666629
2022/10/20/21:26:55.840695,2022/10/20/21:26:55.84,2410179,1666326415,840411894,tool0_controller,-0.150637049,1.192443357,0.596092155,0.167141817,-0.018985912,0.019957503,2022/10/20/21:26:56.08,1.217776108
2022/10/20/21:26:55.842925,2022/10/20/21:26:55.84,2410180,1666326415,842403256,tool0_controller,-0.18810101,0.518861602,0.561945972,0.161382263,-0.023017211,0.008901856,2022/10/20/21:26:56.09,0.718582981
2022/10/20/21:26:55.844607,2022/10/20/21:26:55.84,2410181,1666326415,844406710,tool0_controller,-0.342876119,0.992281493,0.41650983,0.1580987,-0.030617267,0.021327598,2022/10/20/21:26:56.10,1.168659216
2022/10/20/21:26:55.848540,2022/10/20/21:26:55.84,2410182,1666326415,848099818,tool0_controller,-0.243758037,1.017279557,0.268876982,0.16405608,-0.028328448,0.026172901,2022/10/20/21:26:56.11,0.61751346
2022/10/20/21:26:55.851947,2022/10/20/21:26:55.85,2410183,1666326415,851750410,tool0_controller,-0.323985167,1.114008468,0.715266339,0.162929238,-0.025655139,0.031302325,2022/10/20/21:26:56.12,1.250172417
2022/10/20/21:26:55.855913,2022/10/20/21:26:55.85,2410184,1666326415,855296795,tool0_controller,-0.192879599,0.744865287,1.19244743,0.160548936,-0.015637445,0.022258102,2022/10/20/21:26:56.13,0.129897521
2022/10/20/21:26:55.858802,2022/10/20/21:26:55.85,2410185,1666326415,858517732,tool0_controller,-0.05132173,0.969413106,1.263276125,0.160825499,-0.014161241,0.020428747,2022/10/20/21:26:56.14,0.987136423
2022/10/20/21:26:55.861560,2022/10/20/21:26:55.86,2410186,1666326415,861165807,tool0_controller,-0.053404491,1.296799295,1.374640693,0.170609096,-0.01798333,0.017548123,2022/10/20/21:26:56.15,0.229741545
2022/10/20/21:26:55.864343,2022/10/20/21:26:55.86,2410187,1666326415,863778303,tool0_controller,-0.111071637,1.244676611,1.065822073,0.164929491,-0.023509769,0.01268033,2022/10/20/21:26:56.16,0.373349213
2022/10/20/21:26:55.866554,2022/10/20/21:26:55.86,2410188,1666326415,865964735,tool0_controller,-0.177859138,1.479356667,0.460876774,0.174259746,-0.021130756,0.015625797,2022/10/20/21:26:56.17,0.655975183
2022/10/20/21:26:55.868231,2022/10/20/21:26:55.86,2410189,1666326415,867703893,tool0_controller,-0.136567182,1.421773793,0.791711235,0.174463615,-0.034673879,0.014826609,2022/10/20/21:26:56.18,1.556137974
2022/10/20/21:26:55.869936,2022/10/20/21:26:55.86,2410190,1666326415,869428294,tool0_controller,-0.172148555,1.380181577,1.250207364,0.161867161,-0.019710355,0.011212425,2022/10/20/21:26:56.19,0.317234702
2022/10/20/21:26:55.871624,2022/10/20/21:26:55.87,2410191,1666326415,871155997,tool0_controller,-0.558294594,1.541763037,1.231427171,0.16590191,-0.002756519,0.013342889,2022/10/20/21:26:56.20,1.778528409
2022/10/20/21:26:55.873327,2022/10/20/21:26:55.87,2410192,1666326415,872877776,tool0_controller,-0.541742455,1.103160484,0.135166144,0.19242184,-0.013982572,0.00224513,2022/10/20/21:26:56.21,-0.653442862
2022/10/20/21:26:55.874982,2022/10/20/21:26:55.87,2410193,1666326415,874603597,tool0_controller,-0.079566136,0.956421303,-0.295256325,0.179018059,-0.062565371,0.006611292,2022/10/20/21:26:56.22,-0.046194092
2022/10/20/21:26:55.876639,2022/10/20/21:26:55.87,2410194,1666326415,875955401,tool0_controller,0.118475866,1.152619508,0.888512964,0.161474496,-0.073940826,0.017511669,2022/10/20/21:26:56.23,1.740945606
2022/10/20/21:26:55.877764,2022/10/20/21:26:55.87,2410195,1666326415,877247703,tool0_controller,-0.15314384,1.209792835,1.080168151,0.166958814,-0.012654711,0.009489174,2022/10/20/21:26:56.25,-0.213663855
2022/10/20/21:26:55.878874,2022/10/20/21:26:55.87,2410196,1666326415,878542912,tool0_controller,-0.516480556,1.802626945,0.871262222,0.186910218,0.039224513,0.003640113,2022/10/20/21:26:56.26,-0.424531902
2022/10/20/21:26:55.880024,2022/10/20/21:26:55.88,2410197,1666326415,879848947,tool0_controller,-0.62792502,1.231983966,0.780296178,0.174784587,0.025053964,0.009777146,2022/10/20/21:26:56.27,-4.856635795
2022/10/20/21:26:55.881768,2022/10/20/21:26:55.88,2410198,1666326415,881156592,tool0_controller,-0.647804685,0.599511558,0.344901061,0.147257177,-0.030419546,0.024683326,2022/10/20/21:26:56.28,-0.623595176
2022/10/20/21:26:55.882859,2022/10/20/21:26:55.88,2410199,1666326415,882478483,tool0_controller,-0.381613409,0.220774525,-0.328875871,0.149477848,-0.078005167,0.020260407,2022/10/20/21:26:56.29,-0.732769145
2022/10/20/21:26:55.883996,2022/10/20/21:26:55.88,2410200,1666326415,883778769,tool0_controller,-0.447852208,1.003403364,-0.405878216,0.183550021,-0.077532904,0.023907579,2022/10/20/21:26:56.30,-0.466108845
2022/10/20/21:26:55.885663,2022/10/20/21:26:55.88,2410201,1666326415,885088577,tool0_controller,-0.388488132,1.415484587,0.496682122,0.200180315,-0.031325345,0.022614619,2022/10/20/21:26:56.31,1.142891126
2022/10/20/21:26:55.886769,2022/10/20/21:26:55.88,2410202,1666326415,886449830,tool0_controller,-0.357109123,0.879180694,1.369909516,0.169302178,0.013455439,0.015597294,2022/10/20/21:26:56.32,0.984310662
2022/10/20/21:26:55.890033,2022/10/20/21:26:55.89,2410203,1666326415,888501205,tool0_controller,-0.548968809,1.414813327,1.334787219,0.147898785,0.032448904,0.025665732,2022/10/20/21:26:56.33,0.595212088
2022/10/20/21:26:55.893981,2022/10/20/21:26:55.89,2410204,1666326415,893539664,tool0_controller,-0.530928107,0.850053115,0.913266991,0.155060405,-0.004319746,0.007976828,2022/10/20/21:26:56.34,1.806456083
2022/10/20/21:26:55.898435,2022/10/20/21:26:55.89,2410205,1666326415,898078454,tool0_controller,-0.249946513,1.446569969,-0.162296071,0.171558987,-0.059997673,0.016702996,2022/10/20/21:26:56.35,0.663701637
2022/10/20/21:26:55.902851,2022/10/20/21:26:55.90,2410206,1666326415,902437143,tool0_controller,0.182638982,1.224527255,-0.144202077,0.177354389,-0.090243393,0.009678724,2022/10/20/21:26:56.36,1.084281308
2022/10/20/21:26:55.906743,2022/10/20/21:26:55.90,2410207,1666326415,906114016,tool0_controller,0.470737093,1.288977303,0.735149599,0.179542577,-0.060554392,0.01716266,2022/10/20/21:26:56.37,0.33665606
2022/10/20/21:26:55.908969,2022/10/20/21:26:55.90,2410208,1666326415,908842557,tool0_controller,-0.051957185,1.242822556,1.835630601,0.174910577,0.012026104,0.011580869,2022/10/20/21:26:56.38,0.457608087
2022/10/20/21:26:55.912835,2022/10/20/21:26:55.91,2410209,1666326415,911945574,tool0_controller,-0.400000773,1.128219297,2.298430486,0.166345673,0.04884975,0.012397893,2022/10/20/21:26:56.39,0.903147905
2022/10/20/21:26:55.915181,2022/10/20/21:26:55.91,2410210,1666326415,914858544,tool0_controller,-0.403295287,1.270555865,1.340064287,0.15573843,0.02124639,0.021935457,2022/10/20/21:26:56.40,0.127954964
2022/10/20/21:26:55.917378,2022/10/20/21:26:55.91,2410211,1666326415,916801284,tool0_controller,-0.359736755,0.972894452,-0.611988252,0.166732382,-0.054097261,0.01885225,2022/10/20/21:26:56.41,0.405669139
2022/10/20/21:26:55.919048,2022/10/20/21:26:55.91,2410212,1666326415,918694562,tool0_controller,0.13042641,0.958392383,-0.733775936,0.168397869,-0.132249291,0.026820661,2022/10/20/21:26:56.42,0.906996991
2022/10/20/21:26:55.920737,2022/10/20/21:26:55.92,2410213,1666326415,920544178,tool0_controller,0.160225948,0.737197158,0.849982326,0.155048961,-0.077280029,0.020271527,2022/10/20/21:26:56.43,1.342188423
2022/10/20/21:26:55.923593,2022/10/20/21:26:55.92,2410214,1666326415,922867998,tool0_controller,-0.77466042,0.954507435,2.624323639,0.165367929,0.058999305,0.019290877,2022/10/20/21:26:56.44,0.757793905
2022/10/20/21:26:55.925353,2022/10/20/21:26:55.92,2410215,1666326415,924946108,tool0_controller,-1.482864284,0.756715998,1.839759344,0.199141213,0.129975666,0.007137374,2022/10/20/21:26:56.45,0.838462087
2022/10/20/21:26:55.927028,2022/10/20/21:26:55.92,2410216,1666326415,926280763,tool0_controller,-1.246302588,0.773573628,-0.212420714,0.189164435,0.032280929,0.012567058,2022/10/20/21:26:56.46,0.62728893
2022/10/20/21:26:55.928158,2022/10/20/21:26:55.92,2410217,1666326415,927596783,tool0_controller,-0.318605999,0.766354307,-1.455316659,0.139477875,-0.124213177,0.030480581,2022/10/20/21:26:56.47,0.819466904
2022/10/20/21:26:55.929271,2022/10/20/21:26:55.92,2410218,1666326415,928938935,tool0_controller,0.255657213,1.076070032,-1.145207494,0.153762452,-0.169318401,0.020131791,2022/10/20/21:26:56.48,1.448741628
