t,w,x,y,z,ax,ay,az
0,,
1,Revision @ user[16][6] = A5,Checking hardware revision...
2,>*......>......,Resetting memory bank selection to 0...
3,"//OFFSETS    -3437,     477,    3371,    -150,     -17,      79",//           X Accel  Y Accel  Z Accel   X Gyro   Y Gyro   Z Gyro
4,1.00,0.00,0.00,-0.00,-8,-18,-5155
5,1.00,0.00,0.00,-0.00,-2,-16,-3795
6,1.00,0.00,0.00,-0.00,3,-24,-2787
7,1.00,0.00,0.00,0.00,-1,-33,-2045
8,1.00,0.00,0.00,0.00,-7,-42,-1508
9,1.00,0.00,0.00,0.00,-11,-49,-1114
10,1.00,0.00,0.00,0.00,-6,-55,-827
11,1.00,0.00,0.00,0.00,-14,-54,-619
12,1.00,0.00,0.00,0.00,0,-57,-454
13,1.00,0.00,0.00,0.00,0,-57,-325
14,1.00,0.00,0.00,0.00,0,-43,-234
15,1.00,0.00,0.00,0.00,0,-21,-172
16,1.00,0.00,0.00,0.00,2,-21,-126
17,1.00,0.00,0.00,0.00,1,-42,-92
18,1.00,0.00,0.00,0.00,0,-58,-66
19,1.00,0.00,0.00,0.00,0,-40,-64
20,1.00,0.00,0.00,0.00,1,-22,-56
21,1.00,0.00,0.00,0.00,4,-28,-42
22,1.00,0.00,0.00,0.00,1,-44,-32
23,1.00,0.00,0.00,0.00,0,-42,-38
24,1.00,0.00,0.00,0.00,3,-38,-30
25,1.00,0.00,0.00,0.00,5,-40,-20
26,1.00,0.00,0.00,0.00,2,-51,-18
27,1.00,0.00,0.00,0.00,6,-56,-6
28,1.00,0.00,0.00,0.00,9,-58,12
29,1.00,0.00,0.00,0.00,15,-45,22
30,1.00,0.00,0.00,-0.00,6,-21,10
31,1.00,0.00,0.00,-0.00,0,-17,4
32,1.00,0.00,0.00,-0.00,1,-23,12
33,1.00,0.00,0.00,-0.00,0,-21,9
34,1.00,0.00,0.00,-0.00,4,-10,-1
35,1.00,0.00,0.00,-0.00,6,-10,1
36,1.00,0.00,0.00,-0.00,0,-25,17
37,1.00,0.00,0.00,-0.00,1,-47,14
38,1.00,0.00,0.00,-0.00,6,-58,12
39,1.00,0.00,0.00,-0.00,9,-58,3
40,1.00,0.00,0.00,-0.00,14,-36,4
41,1.00,0.00,0.00,-0.00,3,-15,-7
42,1.00,0.00,0.00,-0.00,2,-36,-18
43,1.00,0.00,0.00,-0.00,-3,-43,-17
44,1.00,0.00,0.00,-0.00,0,-36,-32
45,1.00,0.00,0.00,-0.00,1,-28,-39
46,1.00,0.00,0.00,-0.00,-7,-36,-31
47,1.00,0.00,0.00,-0.00,-4,-44,-24
48,1.00,0.00,0.00,-0.00,3,-40,-29
49,1.00,0.00,0.00,-0.00,9,-37,-23
50,1.00,0.00,0.00,-0.00,2,-44,-22
51,1.00,0.00,0.00,-0.00,-3,-61,-34
52,1.00,0.00,0.00,-0.00,0,-70,-25
53,1.00,0.00,0.00,-0.00,-2,-60,-10
54,1.00,0.00,0.00,-0.00,-6,-29,-5
55,1.00,0.00,0.00,-0.00,-9,-15,-4
56,1.00,0.00,0.00,-0.00,-11,-14,13
57,1.00,0.00,0.00,-0.00,-10,-19,34
58,1.00,0.00,0.00,-0.00,-4,-3,15
59,1.00,0.00,0.00,-0.00,0,11,1
60,1.00,0.00,0.00,-0.00,-6,10,16
61,1.00,0.00,0.00,-0.00,-14,-10,28
62,1.00,0.00,0.00,-0.00,1,-22,10
63,1.00,0.00,0.00,-0.00,9,-18,3
64,1.00,0.00,0.00,-0.00,14,-24,14
65,1.00,0.00,0.00,-0.00,14,-37,18
66,1.00,0.00,0.00,-0.00,5,-49,21
67,1.00,0.00,0.00,-0.00,-4,-37,27
68,1.00,0.00,0.00,-0.00,0,-7,18
69,1.00,0.00,0.00,-0.00,2,-8,11
70,1.00,0.00,0.00,-0.00,0,-43,18
