time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2022/11/02/21:16:41.754676,0,0,0,base_link,0.500193245,0.416631028,0.104496895,-0.026784329,0.999637623,-0.001528436,0.002210705
2022/11/02/21:16:42.755153,1,0,0,base_link,0.500193245,0.416631028,0.104496895,-0.026784329,0.999637623,-0.001528436,0.002210705
2022/11/02/21:16:42.771160,2,0,0,base_link,0.500193245,0.416631028,0.104371895,-0.026784329,0.999637623,-0.001528436,0.002210705
2022/11/02/21:16:42.774838,3,0,0,base_link,0.500193245,0.416631028,0.104246895,-0.026784329,0.999637623,-0.001528436,0.002210705
2022/11/02/21:16:42.785101,4,0,0,base_link,0.500193245,0.416631028,0.104121895,-0.026784329,0.999637623,-0.001528436,0.002210705
2022/11/02/21:16:42.794828,5,0,0,base_link,0.500193245,0.416631028,0.103996895,-0.026784329,0.999637623,-0.001528436,0.002210705
2022/11/02/21:16:42.804905,6,0,0,base_link,0.500193245,0.416631028,0.103871895,-0.026784329,0.999637623,-0.001528436,0.002210705
2022/11/02/21:16:42.814929,7,0,0,base_link,0.500193245,0.416631028,0.103746895,-0.026784329,0.999637623,-0.001528436,0.002210705
2022/11/02/21:16:42.825127,8,0,0,base_link,0.500193245,0.416631028,0.103621896,-0.026784329,0.999637623,-0.001528436,0.002210705
2022/11/02/21:16:42.834800,9,0,0,base_link,0.500193245,0.416631028,0.103496896,-0.026784329,0.999637623,-0.001528436,0.002210705
2022/11/02/21:16:42.848680,10,0,0,base_link,0.500193245,0.416631028,0.103371896,-0.026784329,0.999637623,-0.001528436,0.002210705
2022/11/02/21:16:42.855094,11,0,0,base_link,0.500193245,0.416631028,0.103246896,-0.026784329,0.999637623,-0.001528436,0.002210705
2022/11/02/21:16:42.866169,12,0,0,base_link,0.500193245,0.416631028,0.103121897,-0.026784329,0.999637623,-0.001528436,0.002210705
2022/11/02/21:16:42.874854,13,0,0,base_link,0.500193245,0.416631028,0.102996897,-0.026784329,0.999637623,-0.001528436,0.002210705
2022/11/02/21:16:42.884904,14,0,0,base_link,0.500193245,0.416631028,0.102871898,-0.026784329,0.999637623,-0.001528436,0.002210705
2022/11/02/21:16:42.894969,15,0,0,base_link,0.500193245,0.416631028,0.102746899,-0.026784329,0.999637623,-0.001528436,0.002210705
2022/11/02/21:16:42.905443,16,0,0,base_link,0.500193245,0.416631028,0.102621899,-0.026784329,0.999637623,-0.001528436,0.002210705
2022/11/02/21:16:42.914834,17,0,0,base_link,0.500193245,0.416631028,0.1024969,-0.026784329,0.999637623,-0.001528436,0.002210705
2022/11/02/21:16:42.925155,18,0,0,base_link,0.500193245,0.416631028,0.102371901,-0.026784329,0.999637623,-0.001528436,0.002210705
