time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,,,,,,,,,,,
2022/11/02/21:16:40.078304,7026176,1667449000,77932727,tool0_controller,-0.167168093,0.563649368,0.17855118,-0.007679322,-0.012904083,0.008374946,,,,,,,,,,,
2022/11/02/21:16:40.079971,7026177,1667449000,79492603,tool0_controller,-0.145093907,0.526196736,0.349433145,-0.013440728,-0.023601239,0.004856372,,,,,,,,,,,
2022/11/02/21:16:40.081374,7026178,1667449000,81118218,tool0_controller,-0.384772483,0.582831935,0.477636555,-0.006669216,-0.027040088,0.004985441,,,,,,,,,,,
2022/11/02/21:16:40.082959,7026179,1667449000,82642535,tool0_controller,-0.244661164,0.932491764,0.776212695,-0.007464205,-0.029309052,0.009753614,,,,,,,,,,,
2022/11/02/21:16:40.090014,7026180,1667449000,84081224,tool0_controller,-0.30057515,0.586251901,0.439540998,0.003890696,-0.014905812,-0.002955132,,,,,,,,,,,
2022/11/02/21:16:40.090038,7026181,1667449000,85489802,tool0_controller,-0.282968236,0.520752073,0.709143794,-0.006884867,-0.019537275,0.002399227,,,,,,,,,,,
2022/11/02/21:16:40.090080,7026182,1667449000,86880954,tool0_controller,-0.230322759,0.555661765,0.602619212,-0.007309627,-0.01542234,0.008890411,,,,,,,,,,,
2022/11/02/21:16:40.090087,7026183,1667449000,88236020,tool0_controller,-0.180423931,0.381913994,0.678486103,-0.009348829,-0.016702318,0.010070192,,,,,,,,,,,
2022/11/02/21:16:40.090695,7026184,1667449000,90014300,tool0_controller,-0.066775913,0.292416045,0.616768811,-0.008173322,-0.014906552,0.006402161,,,,,,,,,,,
2022/11/02/21:16:40.092321,7026185,1667449000,91636544,tool0_controller,0.04322157,0.219806863,0.939851591,-0.013970518,-0.021560353,0.004284403,,,,,,,,,,,
2022/11/02/21:16:40.093897,7026186,1667449000,93500596,tool0_controller,-0.011685712,0.273765041,1.045663755,-0.008062111,-0.017889342,0.007454637,,,,,,,,,,,
2022/11/02/21:16:40.096772,7026187,1667449000,95713156,tool0_controller,-0.08432722,0.325087369,1.033228867,-0.007516604,-0.010078039,0.013602962,,,,,,,,,,,
