t,w,x,y,z,ax,ay,az
0,Checking hardware revision...,,,,,,
1,Resetting memory bank selection to 0...,Revision @ user[16][6] = A5,,,,,
2,//           X Accel  Y Accel  Z Accel   X Gyro   Y Gyro   Z Gyro,>*......>......,,,,,
3,1,0,0,0,"//OFFSETS    -3345,     479,    3399,    -150,     -18,      78",,
4,1,0,0,0,0,-8,-5157
5,1,0,0,0,3,-26,-3794
6,1,0,0,0,9,-41,-2806
7,1,0,0,0,3,-44,-2062
8,1,0,0,0,0,-50,-1524
9,1,0,0,0,-12,-41,-1114
10,1,0,0,0,-5,-36,-828
11,1,0,0,0,-7,-26,-607
12,1,0,0,0,-2,-27,-458
13,1,0,0,0,-5,-50,-344
14,1,0,0,0,-1,-50,-260
15,1,0,0,0,-1,-39,-194
16,1,0,0,0,-4,-37,-141
17,1,0,0,0,-1,-41,-110
18,1,0,0,0,-1,-40,-87
19,1,0,0,0,-2,-37,-70
20,1,0,0,0,0,-28,-55
21,1,0,0,0,2,-27,-55
22,1,0,0,0,2,-46,-36
23,1,0,0,0,0,-51,-28
24,1,0,0,0,0,-30,-30
25,1,0,0,0,4,-22,-16
26,1,0,0,0,11,-32,-11
27,1,0,0,0,11,-47,-3
28,1,0,0,0,3,-39,-6
29,1,0,0,0,-6,-25,-1
30,1,0,0,0,0,-24,-12
31,1,0,0,0,5,-49,-6
32,1,0,0,0,13,-57,-7
33,1,0,0,0,3,-37,-8
34,1,0,0,0,-4,-19,-9
35,1,0,0,0,0,-29,-11
36,1,0,0,0,6,-51,-3
37,1,0,0,0,3,-51,-3
38,1,0,0,0,5,-35,-13
39,1,0,0,0,0,-19,-16
40,1,0,0,0,0,-27,-17
41,1,0,0,0,4,-45,-21
42,1,0,0,0,0,-46,-22
43,1,0,0,0,0,-24,-24
44,1,0,0,0,0,-28,-33
45,1,0,0,0,0,-63,-23
46,1,0,0,0,14,-49,-32
47,1,0,0,0,0,-17,-12
48,1,0,0,0,-3,-1,-4
49,1,0,0,0,0,-11,-15
50,1,0,0,0,0,-39,-10
51,1,0,0,0,-4,-40,-15
52,1,0,0,0,-5,-33,-18
53,1,0,0,0,-8,-39,-1
54,1,0,0,0,-6,-45,1
55,1,0,0,0,-2,-29,-2
56,1,0,0,0,-1,-27,-4
57,1,0,0,0,-4,-25,-6
58,1,0,0,0,0,-23,-11
59,1,0,0,0,1,-31,-2
60,1,0,0,0,-3,-37,7
61,1,0,0,0,-6,-25,3
62,1,0,0,0,-7,-13,0
63,1,0,0,0,-9,-22,0
64,1,0,0,0,-4,-35,2
65,1,0,0,0,0,-43,0
66,1,0,0,0,-3,-31,-1
67,1,0,0,0,-5,-9,-15
68,1,0,0,0,0,-21,-8
69,1,0,0,0,3,-36,-8
70,1,0,0,0,2,-37,-3
71,1,0,0,0,-1,-24,-1
72,1,0,0,0,-10,-16,-12
73,1,0,0,0,-10,-12,-10
74,1,0,0,0,0,-21,-12
75,1,0,0,0,-4,-38,-12
76,1,0,0,0,-7,-25,-8
77,1,0,0,0,-1,-18,-8
78,1,0,0,0,3,-19,8
79,1,0,0,0,1,-18,10
80,1,0,0,0,-2,-24,5
81,1,0,0,0,0,-20,0
82,1,0,0,0,0,-8,-11
83,1,0,0,0,0,-13,-10
84,1,0,0,0,4,-31,-4
85,1,0,0,0,1,-38,-9
86,1,0,0,0,-9,-20,-11
87,1,0,0,0,-8,-7,-9
88,1,0,0,0,-7,-16,-10
89,1,0,0,0,-4,-25,-13
90,1,0,0,0,-10,-25,-5
91,1,0,0,0,-15,-16,-14
92,1,0,0,0,-18,-16,-10
93,1,0,0,0,-8,-19,-4
94,1,0,0,0,0,-15,-10
95,1,0,0,0,-7,-15,-16
96,1,0,0,0,-11,-16,-15
97,1,0,0,0,-6,-16,-21
98,1,0,0,0,-8,-18,-6
99,1,0,0,0,-3,-23,-9
100,1,0,0,0,-6,-27,-5
101,1,0,0,0,-12,-21,-6
102,1,0,0,0,-12,-19,-16
103,1,0,0,0,-7,-19,-8
104,1,0,0,0,-4,-23,-16
105,1,0,0,0,-13,-33,-15
106,1,0,0,0,-16,-28,-14
107,1,0,0,0,-13,-20,-22
108,1,0,0,0,-8,-18,-13
109,1,0,0,0,-2,-33,-9
110,1,0,0,0,0,-38,-18
