w,x,y,z,ax,ay,az
0.99,-0.08,0.05,0.03,-1653,-693,593

0.99,-0.08,0.04,0.04,-1632,-737,603

1.00,-0.08,0.03,0.04,-1611,-801,617

1.00,-0.08,0.03,0.04,-1576,-852,648

1.00,-0.08,0.02,0.04,-1514,-877,668

1.00,-0.08,0.01,0.04,-1447,-850,639

1.00,-0.08,0.01,0.04,-1361,-800,585

1.00,-0.08,0.00,0.04,-1219,-752,603

1.00,-0.08,-0.00,0.04,-1088,-726,692

1.00,-0.08,-0.01,0.04,-954,-650,656

1.00,-0.08,-0.01,0.04,-762,-546,569

1.00,-0.07,-0.02,0.04,-593,-470,455

1.00,-0.07,-0.02,0.04,-596,-409,264

1.00,-0.07,-0.02,0.04,-733,-331,20

1.00,-0.07,-0.02,0.04,-763,-315,-37

1.00,-0.07,-0.02,0.04,-701,-380,145

1.00,-0.07,-0.02,0.04,-675,-474,335

1.00,-0.08,-0.02,0.04,-791,-536,374

