w,x,y,z,ax,ay,az
1.00,0.00,0.00,-0.00,2,-61,-97

1.00,0.00,0.00,-0.00,37,-80,-127

1.00,0.01,0.00,-0.00,27,-87,-181

1.00,0.01,-0.00,-0.00,10,-77,-145

1.00,0.01,-0.00,-0.00,-12,-75,-40

1.00,0.01,-0.00,-0.00,-41,-86,42

1.00,0.00,-0.00,-0.00,-59,-89,34

1.00,0.00,-0.00,-0.00,-75,-88,-26

1.00,0.00,-0.00,-0.00,-74,-90,-113

1.00,0.00,0.00,-0.00,-183,-114,-234

1.00,0.01,-0.00,-0.01,-326,-116,-205

1.00,0.01,-0.00,-0.01,-207,-55,-110

1.00,0.01,-0.00,-0.01,-308,-79,-81

1.00,0.01,-0.00,-0.01,-317,-104,-57

1.00,0.00,-0.00,-0.01,-212,-86,-64

1.00,0.00,-0.00,-0.01,-187,-88,-61

1.00,0.01,-0.00,-0.02,21,-119,-21

1.00,0.01,-0.00,-0.02,298,-3,112

1.00,0.00,-0.00,-0.02,167,11,221

1.00,0.00,-0.00,-0.02,43,-29,195

1.00,0.00,0.00,-0.02,-102,-77,150

1.00,0.00,0.00,-0.02,-65,-50,93

1.00,0.00,0.00,-0.02,79,15,77

1.00,0.00,0.00,-0.02,252,126,189

1.00,-0.00,0.00,-0.02,330,218,316

1.00,-0.00,0.00,-0.02,318,235,420

1.00,-0.01,0.01,-0.02,280,284,558

1.00,-0.01,0.01,-0.03,183,342,709

1.00,-0.01,0.01,-0.03,59,399,860

1.00,-0.02,0.02,-0.03,65,498,894

1.00,-0.02,0.03,-0.03,82,569,850

1.00,-0.03,0.03,-0.04,-84,629,851

1.00,-0.03,0.04,-0.04,-155,724,779

1.00,-0.04,0.05,-0.04,-14,842,688

1.00,-0.04,0.05,-0.05,11,1064,863

1.00,-0.05,0.06,-0.05,34,1323,1134

1.00,-0.06,0.06,-0.05,97,1564,1216

0.99,-0.06,0.06,-0.05,252,1615,1132

0.99,-0.07,0.06,-0.05,551,1441,937

0.99,-0.07,0.06,-0.05,822,1153,538

0.99,-0.07,0.06,-0.04,543,825,335

0.99,-0.08,0.06,-0.04,389,612,280

0.99,-0.08,0.06,-0.04,371,435,281

0.99,-0.08,0.06,-0.04,408,382,265

0.99,-0.08,0.06,-0.04,405,442,366

0.99,-0.08,0.06,-0.04,386,475,502

0.99,-0.08,0.06,-0.04,260,456,554

0.99,-0.09,0.07,-0.04,168,500,652

0.99,-0.09,0.07,-0.04,272,570,763

0.99,-0.10,0.07,-0.04,343,712,954

0.99,-0.10,0.07,-0.04,307,817,1038

0.99,-0.11,0.08,-0.04,230,755,977

0.99,-0.11,0.08,-0.04,279,741,995

0.99,-0.12,0.08,-0.04,371,905,1197

0.99,-0.12,0.07,-0.04,382,1051,1388

0.99,-0.13,0.07,-0.04,232,943,1196

0.99,-0.13,0.07,-0.04,16,613,773

0.99,-0.14,0.07,-0.04,-52,345,356

0.99,-0.14,0.07,-0.04,32,286,234

0.99,-0.14,0.07,-0.04,76,273,236

0.99,-0.15,0.07,-0.04,91,213,295

0.99,-0.15,0.08,-0.04,123,89,214

0.99,-0.15,0.08,-0.04,149,24,170

0.98,-0.15,0.08,-0.04,202,-80,151

0.99,-0.15,0.08,-0.04,214,-154,207

0.99,-0.14,0.09,-0.04,240,-187,282

0.99,-0.14,0.09,-0.04,181,-250,325

0.99,-0.13,0.09,-0.04,133,-301,342

0.99,-0.13,0.09,-0.04,95,-300,438

0.99,-0.12,0.09,-0.04,71,-313,496

0.99,-0.12,0.10,-0.04,14,-343,486

0.99,-0.11,0.10,-0.04,-14,-314,461

0.99,-0.11,0.10,-0.04,-78,-330,487

0.99,-0.10,0.10,-0.04,-117,-409,429

0.99,-0.10,0.10,-0.03,-135,-419,391

0.99,-0.09,0.11,-0.03,-126,-444,375

0.99,-0.09,0.11,-0.03,-111,-449,409

0.99,-0.08,0.11,-0.03,-156,-444,469

0.99,-0.08,0.11,-0.03,-214,-448,580

0.99,-0.07,0.11,-0.03,-233,-476,634

0.99,-0.07,0.12,-0.02,-246,-481,622

0.99,-0.06,0.12,-0.02,-273,-446,646

0.99,-0.06,0.12,-0.02,-300,-466,626

0.99,-0.05,0.12,-0.02,-281,-560,556

0.99,-0.05,0.12,-0.02,-197,-672,393

0.99,-0.04,0.12,-0.01,-95,-685,215

0.99,-0.04,0.12,-0.01,26,-700,157

0.99,-0.03,0.12,-0.01,88,-717,146

0.99,-0.03,0.12,-0.01,139,-761,103

0.99,-0.03,0.12,-0.01,183,-790,163

0.99,-0.02,0.12,-0.01,213,-817,119

0.99,-0.02,0.12,-0.01,230,-862,-2

0.99,-0.01,0.12,-0.01,289,-846,-94

0.99,-0.01,0.12,-0.01,365,-794,-41

0.99,-0.01,0.13,-0.01,300,-711,56

0.99,-0.01,0.13,-0.01,166,-662,5

0.99,-0.01,0.12,-0.00,17,-567,-31

0.99,-0.00,0.12,-0.00,-111,-484,-84

0.99,-0.00,0.12,-0.00,-227,-409,-158

0.99,-0.00,0.12,-0.00,-292,-356,-236

0.99,0.00,0.12,-0.00,-248,-294,-273

0.99,0.00,0.12,-0.00,-161,-220,-186

0.99,0.00,0.11,0.00,-126,-171,21

0.99,-0.00,0.11,0.00,-116,-153,201

0.99,-0.00,0.11,0.00,-62,-129,462

0.99,-0.00,0.11,0.00,-60,-120,660

0.99,-0.01,0.11,0.00,-89,-125,705

