t,w,x,y,z,ax,ay,az
0,,
1,Revision @ user[16][6] = A5,Checking hardware revision...
2,>*......>......,Resetting memory bank selection to 0...
3,"//OFFSETS    -3383,     475,    3379,    -151,     -17,      79",//           X Accel  Y Accel  Z Accel   X Gyro   Y Gyro   Z Gyro
4,1.00,0.00,0.00,0.00,-4,-27,-5123
5,1.00,0.00,0.00,0.00,-6,-62,-3776
6,1.00,0.00,0.00,0.00,13,-38,-2815
7,1.00,0.00,0.00,0.00,4,-29,-2046
8,1.00,0.00,0.00,-0.00,0,-39,-1478
9,1.00,0.00,0.00,0.00,9,-39,-1111
10,1.00,0.00,0.00,0.00,5,-72,-792
11,1.00,0.00,0.00,-0.00,13,-70,-591
12,1.00,0.00,0.00,0.00,0,-29,-451
13,1.00,0.00,0.00,-0.00,-12,-32,-313
14,1.00,0.00,0.00,-0.00,0,-44,-235
15,1.00,0.00,0.00,0.00,5,-65,-167
16,1.00,0.00,0.00,0.00,1,-64,-120
17,1.00,0.00,0.00,0.00,11,-42,-124
18,1.00,0.00,0.00,0.00,5,-26,-70
19,1.00,0.00,0.00,0.00,8,-43,-33
20,1.00,0.00,0.00,0.00,4,-47,-45
21,1.00,0.00,0.00,0.00,-3,-50,-26
22,1.00,0.00,0.00,-0.00,15,-15,-71
23,1.00,0.00,0.00,-0.00,-12,-20,-38
24,1.00,0.00,0.00,-0.00,-5,-53,42
25,1.00,0.00,0.00,-0.00,14,-63,25
26,1.00,0.00,0.00,-0.00,6,-47,5
27,1.00,0.00,0.00,-0.00,-9,-36,34
28,1.00,0.00,0.00,-0.00,-32,-15,61
29,1.00,0.00,0.00,0.00,6,-53,2
30,1.00,0.00,0.00,0.00,13,-62,-21
31,1.00,0.00,0.00,0.00,-4,-55,6
32,1.00,0.00,0.00,0.00,-37,-54,24
33,1.00,0.00,0.00,0.00,-13,-35,10
34,1.00,0.00,0.00,0.00,5,-32,11
35,1.00,0.00,0.00,0.00,16,-56,5
36,1.00,0.00,0.00,0.00,-2,-40,38
37,1.00,0.00,0.00,0.00,-12,-45,31
38,1.00,0.00,0.00,0.00,-9,-48,14
39,1.00,0.00,0.00,0.00,7,-45,-3
40,1.00,0.00,0.00,0.00,21,-50,11
41,1.00,0.00,0.00,0.00,26,-26,-1
42,1.00,0.00,0.00,0.00,0,-27,0
43,1.00,0.00,0.00,0.00,-12,-38,3
44,1.00,0.00,0.00,0.00,-8,-49,3
45,1.00,0.00,0.00,0.00,-2,-44,4
46,1.00,0.00,0.00,0.00,13,-34,-11
47,1.00,0.00,0.00,0.00,10,-30,1
48,1.00,0.00,0.00,0.00,-1,-32,9
49,1.00,0.00,0.00,0.00,-5,-33,-5
50,1.00,0.00,0.00,0.00,1,-45,2
51,1.00,0.00,0.00,0.00,15,-20,-47
52,1.00,0.00,0.00,0.00,0,3,-28
53,1.00,0.00,0.00,0.00,0,-23,46
54,1.00,0.00,0.00,0.00,5,-44,24
55,1.00,0.00,0.00,0.00,14,-62,-24
56,1.00,0.00,0.00,0.00,-1,-58,-13
57,1.00,0.00,0.00,0.00,-17,-27,-3
58,1.00,0.00,0.00,0.00,-4,-18,0
59,1.00,0.00,0.00,0.00,15,-47,4
60,1.00,0.00,0.00,0.00,22,-44,-50
61,1.00,0.00,0.00,-0.00,-6,-5,7
62,1.00,0.00,0.00,0.00,-27,-28,38
63,1.00,0.00,0.00,0.00,-26,-41,1
64,1.00,0.00,0.00,0.00,4,-55,-25
65,1.00,0.00,0.00,0.00,11,-65,13
66,1.00,0.00,0.00,0.00,3,-30,9
67,1.00,0.00,0.00,0.00,6,2,2
68,1.00,0.00,0.00,0.00,7,-22,31
69,1.00,0.00,0.00,0.00,-3,-36,14
70,1.00,0.00,0.00,0.00,-2,-28,-3
71,1.00,0.00,0.00,0.00,5,-27,13
72,1.00,0.00,0.00,0.00,0,-26,5
