t,w,x,y,z,ax,ay,az
0,
1,Revision @ user[16][6] = A5,Checking hardware revision...
2,>*......>......,Resetting memory bank selection to 0...
3,"//OFFSETS    -3391,     475,    3385,    -151,     -17,      79",//           X Accel  Y Accel  Z Accel   X Gyro   Y Gyro   Z Gyro
4,1.00,0.00,0.00,-0.00,7,-17,-5150
5,1.00,0.00,0.00,0.00,15,-30,-3798
6,1.00,0.00,0.00,0.00,1,-41,-2769
7,1.00,0.00,0.00,-0.00,19,-47,-2017
8,1.00,0.00,0.00,-0.00,3,-47,-1525
9,1.00,0.00,0.00,-0.00,-9,-53,-1116
10,1.00,0.00,0.00,-0.00,-13,-68,-794
11,1.00,0.00,0.00,0.00,4,-51,-590
12,1.00,0.00,0.00,0.00,33,-57,-435
13,1.00,0.00,0.00,0.00,34,-61,-315
14,1.00,0.00,0.00,-0.00,-17,-46,-260
15,1.00,0.00,0.00,-0.00,-5,-52,-189
16,1.00,0.00,0.00,-0.00,-5,-66,-106
17,1.00,0.00,0.00,-0.00,-1,-56,-87
18,1.00,0.00,0.00,-0.00,13,-35,-98
19,1.00,0.00,0.00,-0.00,-1,-48,-37
20,1.00,0.00,0.00,0.00,-39,-69,3
21,1.00,0.00,0.00,-0.00,-4,-48,-34
22,1.00,0.00,0.00,-0.00,23,-44,-20
23,1.00,0.00,0.00,-0.00,21,-54,35
24,1.00,0.00,0.00,-0.00,8,-34,-5
25,1.00,0.00,0.00,-0.00,1,-40,-38
26,1.00,0.00,0.00,-0.00,-7,-79,1
27,1.00,0.00,0.00,-0.00,8,-67,9
28,1.00,0.00,0.00,-0.00,8,-46,10
29,1.00,0.00,0.00,-0.00,8,-38,6
30,1.00,0.00,0.00,-0.00,8,-37,0
31,1.00,0.00,0.00,-0.00,-9,-62,19
32,1.00,0.00,0.00,-0.00,13,-40,-19
33,1.00,0.00,0.00,-0.00,9,-51,-1
34,1.00,0.00,0.00,-0.00,3,-70,12
35,1.00,0.00,0.00,-0.00,0,-36,-15
36,1.00,0.00,0.00,-0.00,-33,-62,37
37,1.00,0.00,0.00,-0.00,4,-72,39
38,1.00,0.00,0.00,-0.00,22,-33,-42
39,1.00,0.00,0.00,-0.00,1,-26,-60
40,1.00,0.00,0.00,-0.00,-43,-53,33
41,1.00,0.00,0.00,-0.00,-33,-61,54
42,1.00,0.00,0.00,-0.00,4,-52,-17
43,1.00,0.00,0.00,-0.00,22,-60,-11
44,1.00,0.00,0.00,-0.00,0,-70,21
45,1.00,0.00,0.00,-0.00,15,-27,0
46,1.00,0.00,0.00,-0.00,30,-24,1
47,1.00,0.00,0.00,-0.00,0,-49,-7
48,1.00,0.00,0.00,-0.00,-25,-64,0
49,1.00,0.00,0.00,-0.00,14,-22,-18
50,1.00,0.00,-0.00,-0.00,8,-5,-17
51,1.00,0.00,0.00,-0.00,-12,-30,12
52,1.00,0.00,0.00,-0.00,24,-23,-32
53,1.00,0.00,0.00,-0.00,36,-18,-22
54,1.00,0.00,-0.00,-0.00,-11,-63,38
55,1.00,0.00,0.00,-0.00,-24,-42,12
56,1.00,0.00,0.00,-0.00,2,-2,-62
57,1.00,0.00,0.00,-0.00,2,-36,9
58,1.00,0.00,0.00,-0.00,-1,-68,72
59,1.00,0.00,0.00,-0.00,14,-16,-10
60,1.00,0.00,0.00,-0.00,13,-33,-29
61,1.00,0.00,0.00,-0.00,-11,-59,11
62,1.00,0.00,0.00,-0.00,0,-16,-7
63,1.00,0.00,0.00,-0.00,11,-30,2
64,1.00,0.00,0.00,-0.00,7,-50,15
65,1.00,0.00,0.00,-0.00,2,-29,-21
66,1.00,0.00,0.00,-0.00,0,-15,-12
67,1.00,0.00,0.00,-0.00,1,-29,0
68,1.00,0.00,-0.00,-0.00,0,-24,-17
69,1.00,0.00,-0.00,-0.00,-5,-24,8
