t,w,x,y,z,ax,ay,az
0,,
1,Revision @ user[16][6] = A5,Checking hardware revision...
2,>**......>......,Resetting memory bank selection to 0...
3,"//OFFSETS    -3393,     475,    3387,    -151,     -17,      79",//           X Accel  Y Accel  Z Accel   X Gyro   Y Gyro   Z Gyro
4,1.00,0.00,0.00,0.00,22,14,-5136
5,1.00,0.00,0.00,0.00,-1,-7,-3741
6,1.00,0.00,0.00,0.00,6,-19,-2770
7,1.00,0.00,0.00,0.00,6,-43,-2048
8,1.00,0.00,0.00,0.00,-11,-60,-1489
9,1.00,0.00,0.00,0.00,-8,-44,-1090
10,1.00,0.00,0.00,0.00,5,-16,-822
11,1.00,0.00,0.00,0.00,11,-40,-589
12,1.00,0.00,0.00,0.00,-2,-77,-435
13,1.00,0.00,0.00,0.00,4,-66,-350
14,1.00,0.00,0.00,0.00,0,-53,-258
15,1.00,0.00,0.00,0.00,-5,-46,-184
16,1.00,0.00,0.00,0.00,-2,-65,-127
17,1.00,0.00,0.00,0.00,11,-68,-115
18,1.00,0.00,0.00,0.00,-6,-68,-83
19,1.00,0.00,0.00,0.00,-23,-45,-63
20,1.00,0.00,0.00,0.00,-11,-19,-61
21,1.00,0.00,0.00,0.00,-13,-30,-57
22,1.00,0.00,0.00,0.00,-22,-79,8
23,1.00,0.00,0.00,0.00,8,-91,20
24,1.00,0.00,0.00,0.00,30,-40,-49
25,1.00,0.00,0.00,0.00,18,-13,-60
26,1.00,0.00,0.00,0.00,0,-37,5
27,1.00,0.00,0.00,0.00,0,-61,18
28,1.00,0.00,0.00,0.00,15,-71,-12
29,1.00,0.00,0.00,0.00,1,-65,-19
30,1.00,0.00,0.00,0.00,-19,-45,-8
31,1.00,0.00,0.00,0.00,-22,-35,-4
32,1.00,0.00,0.00,0.00,1,-46,-6
33,1.00,0.00,0.00,0.00,4,-54,-3
34,1.00,0.00,0.00,0.00,-10,-46,-2
35,1.00,0.00,0.00,0.00,-16,-27,-16
36,1.00,0.00,0.00,0.00,9,-28,-35
37,1.00,0.00,0.00,0.00,0,-77,16
38,1.00,0.00,0.00,0.00,9,-72,24
39,1.00,0.00,0.00,0.00,0,-32,-10
40,1.00,0.00,0.00,0.00,0,-20,-16
41,1.00,0.00,0.00,0.00,-16,-17,1
42,1.00,0.00,0.00,0.00,-6,-4,0
43,1.00,0.00,0.00,0.00,8,-26,13
44,1.00,0.00,0.00,0.00,-6,-69,35
45,1.00,0.00,0.00,0.00,-17,-66,-1
46,1.00,0.00,0.00,-0.00,-5,-58,-13
47,1.00,0.00,0.00,-0.00,7,-48,2
48,1.00,0.00,0.00,-0.00,15,-36,5
49,1.00,0.00,0.00,-0.00,13,-31,8
50,1.00,0.00,0.00,-0.00,-12,-55,33
51,1.00,0.00,0.00,-0.00,-11,-49,-12
52,1.00,0.00,0.00,-0.00,3,-30,-30
53,1.00,0.00,0.00,0.00,1,-44,5
54,1.00,0.00,0.00,0.00,0,-45,0
55,1.00,0.00,0.00,0.00,6,-15,-20
56,1.00,0.00,0.00,0.00,0,-21,-18
57,1.00,0.00,0.00,0.00,-6,-15,-20
58,1.00,0.00,0.00,0.00,8,-27,-15
59,1.00,0.00,0.00,0.00,32,-43,-10
60,1.00,0.00,0.00,0.00,12,-55,4
61,1.00,0.00,0.00,0.00,-11,-48,-3
62,1.00,0.00,0.00,0.00,-6,-43,-20
63,1.00,0.00,0.00,0.00,-3,-35,-21
64,1.00,0.00,0.00,0.00,0,-40,0
65,1.00,0.00,0.00,0.00,12,-34,-15
66,1.00,0.00,0.00,0.00,0,-17,-27
67,1.00,0.00,0.00,0.00,-1,-26,-17
68,1.00,0.00,0.00,0.00,-4,-66,4
69,1.00,0.00,0.00,0.00,23,-52,-10
70,1.00,0.00,0.00,0.00,37,-31,-32
71,1.00,0.00,0.00,0.00,16,-34,-19
